d,price_usd,address_10k_1k
2021-09-12,46180.6124563998,2043
2021-09-13,44991.5221277031,2040
2021-09-14,46842.21,2049
2021-09-15,48167.1893676213,2057
2021-09-16,47103.61,2059
2021-09-17,47086.39,2057
2021-09-18,48015.88,2059
2021-09-19,47587.39,2060
2021-09-20,43569.67,2057
2021-09-21,40526.4893760958,2058
2021-09-22,43475.75,2055
2021-09-23,44716.19,2057
2021-09-24,42991.34,2064
2021-09-25,42714.1,2062
2021-09-26,43131.2941773816,2096
2021-09-27,42720.72,2098
2021-09-28,41811.6,2097
2021-09-29,41453.9470131502,2090
2021-09-30,43781.546015488,2093
2021-10-01,48078.1315543542,2093
2021-10-02,47984.28,2093
2021-10-03,48441.32,2091
2021-10-04,49288.5013106371,2088
2021-10-05,51558.0493319112,2092
2021-10-06,54893.34,2064
2021-10-07,53805.1569125658,2064
2021-10-08,53933.5275908825,2063
2021-10-09,54648.42,2064
2021-10-10,55431.06,2067
2021-10-11,57395.76,2068
2021-10-12,56196.1812597896,2068
2021-10-13,57348.8928769725,2068
2021-10-14,57384.0369146698,2065
2021-10-15,61446.0840073057,2064
2021-10-16,60932.0632119228,2066
2021-10-17,61462.2223722969,2069
2021-10-18,61977.0575514319,2078
2021-10-19,64290.8977574518,2077
2021-10-20,66061.7965639977,2084
2021-10-21,62373.8856206897,2086
2021-10-22,60750.9673718293,2081
2021-10-23,61250.082628872,2079
2021-10-24,60865.4470523086,2082
2021-10-25,63031.6729015196,2080
2021-10-26,60393.9802738165,2078
2021-10-27,58563.3359899766,2066
2021-10-28,60564.5721122151,2067
2021-10-29,62230.8055689655,2065
2021-10-30,61809.68,2069
2021-10-31,61432.9700628287,2066
2021-11-01,61092.0950592051,2072
2021-11-02,63024.7472296902,2065
2021-11-03,62955.9817630041,2071
2021-11-04,61393.8899780246,2070
2021-11-05,61005.840833723,2068
2021-11-06,61455.0536268849,2067
2021-11-07,63043.8290590298,2062
2021-11-08,67541.7555081824,2063
2021-11-09,67095.5856706605,2063
2021-11-10,64756.0779689071,2064
2021-11-11,64962.9312939801,2063
2021-11-12,64078.968037405,2065
2021-11-13,64397.7912063121,2066
2021-11-14,65032.2256548217,2066
2021-11-15,63753.5031592636,2069
2021-11-16,60322.4978530099,2068
2021-11-17,60154.3083661601,2070
2021-11-18,56794.1556271186,2078
2021-11-19,58014.0729888954,2082
2021-11-20,59749.4738229106,2084
2021-11-21,59032.6241017534,2081
2021-11-22,56383.5658760958,2082
2021-11-23,57642.2657980713,2082
2021-11-24,57141.8303784337,2085
2021-11-25,59008.6554792519,2082
2021-11-26,53800.6178389831,2089
2021-11-27,54635.8824628872,2088
2021-11-28,57248.5696963764,2088
2021-11-29,57920.7107299825,2089
2021-11-30,57097.0127942724,2091
2021-12-01,57180.6098439509,2074
2021-12-02,56582.8937691408,2066
2021-12-03,53671.6160680888,2066
2021-12-04,49159.7357983635,2067
2021-12-05,49327.0935999416,2076
2021-12-06,50535.4252232612,2072
2021-12-07,50574.4728344828,2071
2021-12-08,50500.6543513735,2063
2021-12-09,47937.8228458212,2060
2021-12-10,47437.2289725307,2056
2021-12-11,49321.7693252484,2053
2021-12-12,50136.5722568673,2055
2021-12-13,46785.3278410286,2062
2021-12-14,48292.6822501461,2061
2021-12-15,48830.6223860316,2060
2021-12-16,47663.4691077148,2067
2021-12-17,46334.4837489772,2063
2021-12-18,46904.8736753361,2059
2021-12-19,46876.426924021,2060
2021-12-20,46954.7634783168,2061
2021-12-21,49082.0624666277,2066
2021-12-22,48692.0987391584,2072
2021-12-23,50712.9707682642,2079
2021-12-24,50783.8344210988,2073
2021-12-25,50590.4508976622,2070
2021-12-26,50798.3065859147,2069
2021-12-27,50796.3776735827,2070
2021-12-28,47673.0440452367,2068
2021-12-29,46470.3215751023,2059
2021-12-30,47102.4630037989,2061
2021-12-31,46355.1173302747,2059
2022-01-01,47560.0093816482,2061
2022-01-02,47352.5577565751,2063
2022-01-03,46453.432351841,2059
2022-01-04,45905.9611221508,2067
2022-01-05,43530.9440388662,2066
2022-01-06,43144.9652928112,2059
2022-01-07,41512.7845808299,2059
2022-01-08,41799.8128848627,2055
2022-01-09,41886.4985569842,2057
2022-01-10,41816.9510561075,2059
2022-01-11,42768.1786116306,2060
2022-01-12,43961.0265441262,2063
2022-01-13,42626.8653924605,2063
2022-01-14,43102.6476180596,2060
2022-01-15,43206.6744812975,2060
2022-01-16,43168.8596671537,2058
2022-01-17,42211.270399474,2062
2022-01-18,42431.2319670368,2058
2022-01-19,41787.722012858,2060
2022-01-20,40756.1261630625,2069
2022-01-21,36492.2872241379,2070
2022-01-22,34996.390965225,2060
2022-01-23,36271.0502650497,2055
2022-01-24,36659.7252206312,2055
2022-01-25,36952.586773232,2062
2022-01-26,36825.8245993571,2059
2022-01-27,37021.9371332554,2068
2022-01-28,37768.8474836353,2068
2022-01-29,38088.2912279953,2059
2022-01-30,37983.5063845704,2059
2022-01-31,38462.6724029807,2052
2022-02-01,38787.9640824079,2041
2022-02-02,36942.3307493279,2040
2022-02-03,37057.6521879018,2039
2022-02-04,41079.9060881356,2037
2022-02-05,41508.5816925774,2032
2022-02-06,42358.2251732905,2032
2022-02-07,43888.980119813,2040
2022-02-08,44167.4447945646,2047
2022-02-09,44405.0732042665,2042
2022-02-10,43614.3426960842,2045
2022-02-11,42357.3217416715,2046
2022-02-12,42173.4593962595,2045
2022-02-13,42195.5947451782,2044
2022-02-14,42646.1618590883,2042
2022-02-15,44511.9084880187,2039
2022-02-16,44065.7092673875,2039
2022-02-17,40610.024261543,2037
2022-02-18,40044.2204856809,2039
2022-02-19,40095.887329398,2036
2022-02-20,38551.6224967855,2030
2022-02-21,37098.0360081824,2040
2022-02-22,38202.5940818235,2039
2022-02-23,37308.2687344243,2041
2022-02-24,38283.790402104,2033
2022-02-25,39323.7702158387,2041
2022-02-26,39056.5781523086,2044
2022-02-27,37664.7792828755,2043
2022-02-28,43179.2545140269,2181
2022-03-01,44334.457582408,2180
2022-03-02,43984.584926768,2183
2022-03-03,42492.7744552893,2182
2022-03-04,39106.4052159556,2181
2022-03-05,39383.8848433665,2181
2022-03-06,38399.3426268264,2179
2022-03-07,38146.734273232,2179
2022-03-08,38725.477261543,2186
2022-03-09,41989.4028179427,2187
2022-03-10,39482.2584672706,2186
2022-03-11,38825.3644214494,2195
2022-03-12,38951.1300157802,2194
2022-03-13,37808.3174004091,2193
2022-03-14,39649.0453243717,2189
2022-03-15,39356.8139000584,2190
2022-03-16,41101.768579135,2206
2022-03-17,40966.4169324956,2202
2022-03-18,41826.1160710111,2210
2022-03-19,42193.1615362361,2208
2022-03-20,41294.7235129164,2206
2022-03-21,41064.429648159,2213
2022-03-22,42383.169518761,2208
2022-03-23,42734.2000355932,2208
2022-03-24,43974.5935882525,2202
2022-03-25,44347.034279661,2188
2022-03-26,44519.9268641145,2190
2022-03-27,46777.2056265342,2190
2022-03-28,47223.6528860316,2195
2022-03-29,47463.7096770894,2188
2022-03-30,47123.2971478667,2181
2022-03-31,45562.2106665693,2176
2022-04-01,46250.3362878434,2177
2022-04-02,45939.8973489188,2176
2022-04-03,46440.5438538866,2175
2022-04-04,46663.0041770894,2168
2022-04-05,45693.0350619521,2164
2022-04-06,43304.9371990064,2166
2022-04-07,43569.0471697837,2166
2022-04-08,42222.0689772063,2165
2022-04-09,42680.9947355932,2165
2022-04-10,42264.4633909994,2167
2022-04-11,39544.0251835184,2167
2022-04-12,40096.3669748685,2172
2022-04-13,41152.7554517826,2173
2022-04-14,39916.4963842782,2187
2022-04-15,40527.3319567504,2182
2022-04-16,40439.5881209819,2185
2022-04-17,39704.7839798364,2182
2022-04-18,40818.8786025716,2198
2022-04-19,41489.6638011689,2191
2022-04-20,41395.64458346,2190
2022-04-21,40457.4959418469,2185
2022-04-22,39737.9735040912,2186
2022-04-23,39582.4548720047,2188
2022-04-24,39511.6456928697,2189
2022-04-25,40473.7483176505,2187
2022-04-26,38072.800873758,2191
2022-04-27,39218.5376174752,2184
2022-04-28,39747.9894270018,2189
2022-04-29,38609.5059070719,2193
2022-04-30,37714.0949804208,2191
2022-05-01,38459.226979135,2191
2022-05-02,38566.0628877849,2191
2022-05-03,37704.4053153127,2191
2022-05-04,39641.852176505,2179
2022-05-05,36502.0245601403,2165
2022-05-06,36042.9995584453,2167
2022-05-07,35508.7110227937,2160
2022-05-08,34058.9066861484,2164
2022-05-09,30457.9218194039,2155
2022-05-10,30990.7351659848,2155
2022-05-11,28796.5568217417,2154
2022-05-12,29030.7070417884,2140
2022-05-13,29285.9346718293,2132
2022-05-14,30051.935755114,2138
2022-05-15,31182.6212460549,2137
2022-05-16,29889.6124757452,2133
2022-05-17,30438.1944476914,2132
2022-05-18,28771.2204786675,2129
2022-05-19,30257.8852483928,2129
2022-05-20,29224.245998422,2125
2022-05-21,29420.0782857978,2119
2022-05-22,30331.87514173,2121
2022-05-23,29088.2515419638,2122
2022-05-24,29643.6837556984,2114
2022-05-25,29577.259880187,2115
2022-05-26,29332.4860467563,2120
2022-05-27,28612.0413103448,2122
2022-05-28,29045.5206344243,2121
2022-05-30,31735.9549719462,2124
2022-05-31,31831.4095251315,2121
2022-06-01,29825.9221992987,2118
2022-06-02,30504.2679997078,2124
2022-06-03,29662.6709708942,2129
2022-06-04,29792.4076779077,2134
2022-06-05,29915.4093009936,2129
2022-06-06,31333.6770197545,2142
2022-06-07,31175.0324289889,2139
2022-06-08,30228.464698422,2140
2022-06-09,30064.4855289305,2135
2022-06-10,29070.4000300994,2130
2022-06-11,28360.7899231444,2129
2022-06-12,26830.2839456458,2131
2022-06-13,22316.2570400351,2133
2022-06-14,22072.8663085915,2118
2022-06-15,22520.7910087668,2117
2022-06-16,20310.1769848042,2123
2022-06-17,20464.9290873174,2124
2022-06-18,19013.8672536528,2121
2022-06-19,20492.2951683226,2109
2022-06-20,20571.6292247224,2121
2022-06-21,20688.4651312098,2116
2022-06-22,20003.1683375219,2117
2022-06-23,21097.1028331385,2110
2022-06-24,21299.0769853887,2113
2022-06-25,21468.3431566335,2108
2022-06-26,21066.6209430158,2107
2022-06-27,20751.0516960842,2110
2022-06-28,20263.2196393922,2114
2022-06-29,20080.9480864991,2110
