d,price_usd,mvrv_zscore
2011-03-30,0.7897063121,1.527951
2011-03-31,0.78461,1.508067
2011-04-01,0.77411,1.471183
2011-04-02,0.78199,1.493504
2011-04-03,0.779,1.480593
2011-04-04,0.68,1.162019
2011-04-05,0.7156918346,1.273213
2011-04-06,0.74,1.348199
2011-04-07,0.7538,1.389196
2011-04-08,0.74999,1.374467
2011-04-09,0.7340605172,1.322366
2011-04-10,0.7331568206,1.318218
2011-04-11,0.7701139334,1.431716
2011-04-12,0.8613816078,1.711051
2011-04-13,0.9303200584,1.915081
2011-04-14,0.9986297662,2.109118
2011-04-15,0.9836731368,2.040898
2011-04-16,1.046632858,2.214584
2011-04-17,1.0981220979,2.3458
2011-04-18,1.1494333115,2.466859
2011-04-19,1.1851622209,2.536178
2011-04-20,1.1421259848,2.382774
2011-04-21,1.207338872,2.544949
2011-04-22,1.4045050818,3.060665
2011-04-23,1.828852301,4.131039
2011-04-24,1.6319842198,3.484638
2011-04-25,1.5644836353,3.232662
2011-04-26,1.7708408901,3.69447
2011-04-27,1.9031759585,3.926626
2011-04-28,2.2857444658,4.700858
2011-04-29,2.85060509,5.459586
2011-04-30,3.5,6.280071
2011-05-01,3.0942275535,5.088322
2011-05-02,3.2,5.020213
2011-05-03,3.3605857037,5.026842
2011-05-04,3.4086730473,4.792276
2011-05-05,3.3437366844,4.472382
2011-05-06,3.4550755845,4.429998
2011-05-07,3.6412629778,4.524254
2011-05-08,3.848668377,4.610463
2011-05-09,3.8040895821,4.354983
2011-05-10,5.6516670023,6.327729
2011-05-11,5.4397510438,5.610936
2011-05-12,6.3348786943,6.133292
2011-05-13,8.1390348673,7.162512
2011-05-14,7.0072438293,5.583333
2011-05-15,6.9249248445,5.15263
2011-05-16,7.8851407452,5.554696
2011-05-17,7.2571995406,4.754441
2011-05-18,6.7631633624,4.172501
2011-05-19,6.8901436324,4.107954
2011-05-20,5.6180962186,3.062809
2011-05-21,6.0848006674,3.349226
2011-05-22,6.7119560397,3.671654
2011-05-23,7.0652567838,3.792199
2011-05-24,7.4026605821,3.886129
2011-05-25,8.5692896371,4.465975
2011-05-26,8.7821554342,4.407169
2011-05-27,8.5286584681,4.052563
2011-05-28,8.3492691198,3.823682
2011-05-29,8.4009534722,3.740269
2011-05-30,8.7793424646,3.826291
2011-05-31,8.721576422,3.680078
2011-06-01,9.623777232,4.021319
2011-06-02,10.7027602279,4.384263
2011-06-03,14.2646467738,5.705612
2011-06-04,18.3127387259,6.890492
2011-06-05,16.5433423963,5.696387
2011-06-06,18.4020986441,5.823497
2011-06-07,23.2378784629,6.905736
2011-06-08,29.0299213267,7.664756
2011-06-09,28.7905440181,6.787543
2011-06-10,24.0493992285,5.096037
2011-06-11,14.7497466277,2.620356
2011-06-12,18.8501447312,3.439248
2011-06-13,19.5423291146,3.472059
2011-06-14,19.2577355056,3.221781
2011-06-15,19.4641426242,3.105394
2011-06-16,17.9293625424,2.670707
2011-06-17,15.4363689129,2.062624
2011-06-18,16.8754045354,2.343371
2011-06-19,17.5107167914,2.428975
2011-06-20,17.5107167914,2.384265
2011-06-21,17.5107167914,2.335343
2011-06-22,17.5107167914,2.299774
2011-06-23,17.5107167914,2.264544
2011-06-24,17.5107167914,2.227992
2011-06-25,17.5107167914,2.196615
2011-06-26,16.3613420158,1.934436
2011-06-27,16.7522858133,1.969527
2011-06-28,16.9618353071,1.976945
2011-06-29,16.8545683179,1.928353
2011-06-30,16.1852627808,1.772275
2011-07-01,15.4203573992,1.614733
2011-07-02,15.3828440696,1.597996
2011-07-03,15.4575505605,1.598959
2011-07-04,13.8527968124,1.291527
2011-07-05,12.9648177148,1.115106
2011-07-06,14.7147835833,1.43697
2011-07-07,14.7972891613,1.442213
2011-07-08,14.299037697,1.342534
2011-07-09,14.3815006698,1.3514
2011-07-10,14.6229375511,1.382603
2011-07-11,14.3101554331,1.316926
2011-07-12,14.0212726216,1.257247
2011-07-13,13.9714545225,1.241804
2011-07-14,13.9979745476,1.240635
2011-07-15,13.8063904056,1.200421
2011-07-16,13.7130792992,1.179056
2011-07-17,13.2581353109,1.092536
2011-07-18,13.6305212504,1.196549
2011-07-19,13.8247948387,1.224608
2011-07-20,13.6783305921,1.207457
2011-07-21,13.6118084418,1.191533
2011-07-22,13.6985473311,1.203129
2011-07-23,13.6817183425,1.195683
2011-07-24,13.9925151765,1.245464
2011-07-25,14.0334253787,1.247199
2011-07-26,13.8780323232,1.214964
2011-07-27,13.8782247551,1.209983
2011-07-28,13.4915910757,1.140187
2011-07-29,13.5123163901,1.139808
2011-07-30,13.5402806739,1.139921
2011-07-31,13.3729061023,1.108633
2011-08-01,13.0191138469,1.045699
2011-08-02,12.2141564389,0.904643
2011-08-03,9.2863569135,0.407048
2011-08-04,10.7685037481,0.664969
2011-08-05,9.7301539597,0.487718
2011-08-06,6.9641697358,0.021463
2011-08-07,8.5017932922,0.292491
2011-08-08,7.7753376379,0.184611
2011-08-09,9.802499481,0.538989
2011-08-10,10.0512531274,0.582294
2011-08-11,9.4384129947,0.47667
2011-08-12,9.4529932852,0.479582
2011-08-13,10.0040247446,0.576049
2011-08-14,10.8068207665,0.715907
2011-08-15,11.13069655,0.771039
2011-08-16,10.9919655669,0.744423
2011-08-17,10.9639640561,0.737409
2011-08-18,10.8584714559,0.717657
2011-08-19,11.6704730432,0.858434
2011-08-20,11.4597317393,0.819643
2011-08-21,11.3544813407,0.800387
2011-08-22,10.9208958247,0.723421
2011-08-23,10.9172450544,0.723006
2011-08-24,10.8704442899,0.714099
2011-08-25,9.5460936736,0.471653
2011-08-26,8.1269201631,0.220702
2011-08-27,8.5964976067,0.371764
2011-08-28,9.0308663998,0.448344
2011-08-29,8.9611572706,0.435127
2011-08-30,8.8099487382,0.409136
2011-08-31,8.1991517645,0.301925
2011-09-01,8.2342816651,0.309952
2011-09-02,8.6214244378,0.378626
2011-09-03,8.4496534407,0.348388
2011-09-04,8.2034706023,0.305486
2011-09-05,7.5973325251,0.199277
2011-09-06,6.8465300289,0.068228
2011-09-07,7.1629702735,0.126623
2011-09-08,6.6781800003,0.043299
2011-09-09,4.9867770418,-0.257248
2011-09-10,4.7428466552,-0.299583
2011-09-11,5.8529039725,-0.053597
2011-09-12,6.0906294722,-0.008086
2011-09-13,5.802523277,-0.057228
2011-09-14,5.5974326102,-0.093331
2011-09-15,4.8677551847,-0.224088
2011-09-16,4.8311681005,-0.228698
2011-09-17,4.7752856353,-0.238231
2011-09-18,5.2367322782,-0.15367
2011-09-19,5.520376692,-0.100511
2011-09-20,6.1466655517,0.015123
2011-09-21,5.597067498,-0.085278
2011-09-22,5.4750487767,-0.105907
2011-09-23,5.5634214196,-0.088887
2011-09-24,5.4578896873,-0.108058
2011-09-25,5.3411548814,-0.123098
2011-09-26,4.8738260812,-0.209146
2011-09-27,4.9111577925,-0.201588
2011-09-28,4.7634153214,-0.228475
2011-09-29,4.7776609784,-0.225487
2011-09-30,5.14368591,-0.157047
2011-10-01,5.0340705447,-0.176037
2011-10-02,5.0070625967,-0.179791
2011-10-03,5.0228448603,-0.176003
2011-10-04,4.9568056207,-0.187919
2011-10-05,4.8850671309,-0.200804
2011-10-06,4.7301662957,-0.229706
2011-10-07,4.2760357569,-0.313541
2011-10-08,3.9812529942,-0.368802
2011-10-09,4.1116346435,-0.342559
2011-10-10,4.0749624839,-0.348061
2011-10-11,4.0089244959,-0.358994
2011-10-12,4.1662353425,-0.327162
2011-10-13,4.03698109,-0.351523
2011-10-14,3.9862808854,-0.359963
2011-10-15,3.8373385605,-0.388265
2011-10-16,3.6097417165,-0.431712
2011-10-17,2.5812467218,-0.624053
2011-10-18,2.4222747382,-0.652143
2011-10-19,2.217254713,-0.68629
2011-10-20,2.3561235085,-0.658363
2011-10-21,2.5700923051,-0.616603
2011-10-22,3.1554861385,-0.501164
2011-10-23,3.1477509299,-0.502748
2011-10-24,2.5229359977,-0.624212
2011-10-25,2.8019238311,-0.569358
2011-10-26,2.777505239,-0.570764
2011-10-27,3.0454078276,-0.518479
2011-10-28,3.1796394366,-0.492808
2011-10-29,3.5691889687,-0.415958
2011-10-30,3.257403723,-0.478172
2011-10-31,3.2650982127,-0.476552
2011-11-01,3.1710077428,-0.495069
2011-11-02,3.2558005666,-0.476216
2011-11-03,3.1683163852,-0.49389
2011-11-04,3.1201181718,-0.503164
2011-11-05,2.9778175979,-0.531658
2011-11-06,2.9627205769,-0.534962
2011-11-07,3.0177576873,-0.523962
2011-11-08,3.056567111,-0.515116
2011-11-09,2.9195672238,-0.50921
2011-11-10,2.8567020853,-0.52198
2011-11-11,3.0678617335,-0.478621
2011-11-12,3.0255229959,-0.487702
2011-11-13,2.9863733033,-0.495899
2011-11-14,2.2242244643,-0.649665
2011-11-15,2.3223841157,-0.629324
2011-11-16,2.5467809307,-0.515804
2011-11-17,2.2790958358,-0.566026
2011-11-18,2.1050660032,-0.592558
2011-11-19,2.2034567218,-0.573273
2011-11-20,2.2019895096,-0.572781
2011-11-21,2.2798791654,-0.557369
2011-11-22,2.3224585961,-0.548425
2011-11-23,2.3303235675,-0.546552
2011-11-24,2.4388790003,-0.525865
2011-11-25,2.4961610029,-0.514573
2011-11-26,2.471799969,-0.515928
2011-11-27,2.4775649512,-0.514928
2011-11-28,2.5412402522,-0.49106
2011-11-29,2.7576984828,-0.449496
2011-11-30,2.9660415459,-0.409635
2011-12-01,3.08258945,-0.386897
2011-12-02,3.1004023331,-0.383705
2011-12-03,2.8038561853,-0.442318
2011-12-04,2.819693976,-0.439516
2011-12-05,2.8747962274,-0.427975
2011-12-06,3.0253604515,-0.397921
2011-12-07,2.9855024211,-0.400759
2011-12-08,2.9918804831,-0.400208
2011-12-09,2.9557919521,-0.407833
2011-12-10,3.0689752671,-0.38442
2011-12-11,3.2492688472,-0.348191
2011-12-12,3.1873353565,-0.362289
2011-12-13,3.2410884085,-0.351181
2011-12-14,3.1550865044,-0.368537
2011-12-15,3.2031385406,-0.358716
2011-12-16,3.2091377773,-0.357925
2011-12-17,3.1925417043,-0.361704
2011-12-18,3.1940108089,-0.361573
2011-12-19,3.5257739193,-0.291482
2011-12-20,3.9525508273,-0.202006
2011-12-21,3.8889932507,-0.217261
2011-12-22,3.9030604205,-0.215532
2011-12-23,3.937965076,-0.209087
2011-12-24,3.9394191186,-0.208846
2011-12-25,4.2338668778,-0.143968
2011-12-26,3.9991219641,-0.196608
2011-12-27,4.0955185459,-0.176171
2011-12-28,4.2072958761,-0.152523
2011-12-29,4.1733522268,-0.160428
2011-12-30,4.31063509,-0.130938
2011-12-31,4.7143063314,-0.042735
2012-01-01,5.2948427773,0.084167
2012-01-02,5.2048778919,0.065498
2012-01-03,4.8705088288,-0.010355
2012-01-04,5.5857062671,0.146054
2012-01-05,6.8740008773,0.423608
2012-01-06,6.68331664,0.374995
2012-01-07,6.7962279807,0.397643
2012-01-08,7.0966505663,0.461436
2012-01-09,6.2885383425,0.275166
2012-01-10,6.5284745552,0.329598
2012-01-11,6.8891277212,0.408455
2012-01-12,6.7735641958,0.376504
2012-01-13,6.4543688901,0.302623
2012-01-14,6.7617271426,0.370482
2012-01-15,7.0469225582,0.434334
2012-01-16,6.7156076666,0.35719
2012-01-17,5.5996219503,0.104439
2012-01-18,5.9002312881,0.174177
2012-01-19,6.3157063416,0.266115
2012-01-20,6.5014919883,0.308207
2012-01-21,6.1805683255,0.234377
2012-01-22,6.3029672268,0.262397
2012-01-23,6.3748760771,0.278413
2012-01-24,6.2744764757,0.254782
2012-01-25,5.8104650725,0.148535
2012-01-26,5.3672269544,0.049089
2012-01-27,5.303137197,0.036301
2012-01-28,5.659796775,0.119593
2012-01-29,5.3914294573,0.058412
2012-01-30,5.5034819386,0.085279
2012-01-31,5.5382202957,0.094842
2012-02-01,6.0752326523,0.218489
2012-02-02,6.0995729129,0.223496
2012-02-03,5.9516109275,0.188748
2012-02-04,5.895413239,0.175745
2012-02-05,5.6781157171,0.125125
2012-02-06,5.4826640584,0.081316
2012-02-07,5.6620277002,0.123896
2012-02-08,5.6185281899,0.114036
2012-02-09,5.8356998542,0.165374
2012-02-10,5.9378341555,0.19018
2012-02-11,5.6121328533,0.110591
2012-02-12,5.5190971695,0.088843
2012-02-13,5.3483545593,0.058827
2012-02-14,4.4836540918,-0.137766
2012-02-15,4.325520322,-0.17056
2012-02-16,4.255239045,-0.184234
2012-02-17,4.3915383729,-0.150319
2012-02-18,4.2700812776,-0.175766
2012-02-19,4.3895514582,-0.146
2012-02-20,4.3651359389,-0.15103
2012-02-21,4.315115602,-0.161859
2012-02-22,4.4193102876,-0.135697
2012-02-23,5.0395151181,0.012506
2012-02-24,5.0256087589,0.008464
2012-02-25,4.7725673811,-0.053273
2012-02-26,4.9264208515,-0.015706
2012-02-27,4.9525157563,-0.009696
2012-02-28,4.8572577756,-0.033336
2012-02-29,4.8727487557,-0.020657
2012-03-01,4.9220721236,-0.008932
2012-03-02,4.7148235871,-0.05764
2012-03-03,4.6281932525,-0.078474
2012-03-04,4.8341444816,-0.028037
2012-03-05,4.9823929039,0.008038
2012-03-06,4.9878413524,0.008965
2012-03-07,4.9491128846,-0.000934
2012-03-08,4.934979495,-0.004128
