d,price_usd,address_10_100
2012-01-01,5.2948427773,64667
2012-01-02,5.2048778919,64674
2012-01-03,4.8705088288,64751
2012-01-04,5.5857062671,64752
2012-01-05,6.8740008773,64756
2012-01-06,6.68331664,64785
2012-01-07,6.7962279807,64964
2012-01-08,7.0966505663,65049
2012-01-09,6.2885383425,64629
2012-01-10,6.5284745552,64760
2012-01-11,6.8891277212,65017
2012-01-12,6.7735641958,65067
2012-01-13,6.4543688901,64949
2012-01-14,6.7617271426,64797
2012-01-15,7.0469225582,64773
2012-01-16,6.7156076666,64866
2012-01-17,5.5996219503,65046
2012-01-18,5.9002312881,65163
2012-01-19,6.3157063416,65061
2012-01-20,6.5014919883,65076
2012-01-21,6.1805683255,65184
2012-01-22,6.3029672268,65251
2012-01-23,6.3748760771,65489
2012-01-24,6.2744764757,65437
2012-01-25,5.8104650725,65615
2012-01-26,5.3672269544,65661
2012-01-27,5.303137197,65844
2012-01-28,5.659796775,65939
2012-01-29,5.3914294573,65786
2012-01-30,5.5034819386,65826
2012-01-31,5.5382202957,65787
2012-02-01,6.0752326523,66024
2012-02-02,6.0995729129,66092
2012-02-03,5.9516109275,66362
2012-02-04,5.895413239,66157
2012-02-05,5.6781157171,66204
2012-02-06,5.4826640584,66142
2012-02-07,5.6620277002,66239
2012-02-08,5.6185281899,66410
2012-02-09,5.8356998542,66628
2012-02-10,5.9378341555,66779
2012-02-11,5.6121328533,66616
2012-02-12,5.5190971695,66600
2012-02-13,5.3483545593,66626
2012-02-14,4.4836540918,66650
2012-02-15,4.325520322,66818
2012-02-16,4.255239045,66979
2012-02-17,4.3915383729,67141
2012-02-18,4.2700812776,67273
2012-02-19,4.3895514582,67389
2012-02-20,4.3651359389,67663
2012-02-21,4.315115602,67769
2012-02-22,4.4193102876,67964
2012-02-23,5.0395151181,68104
2012-02-24,5.0256087589,68235
2012-02-25,4.7725673811,67352
2012-02-26,4.9264208515,67388
2012-02-27,4.9525157563,67560
2012-02-28,4.8572577756,67476
2012-02-29,4.8727487557,67670
2012-03-01,4.9220721236,67770
2012-03-02,4.7148235871,67667
2012-03-03,4.6281932525,67553
2012-03-04,4.8341444816,67692
2012-03-05,4.9823929039,67780
2012-03-06,4.9878413524,67887
2012-03-07,4.9491128846,68051
2012-03-08,4.934979495,68234
2012-03-09,4.8722978475,68344
2012-03-10,4.8414238048,68462
2012-03-11,4.8920287516,68422
2012-03-12,4.9108393793,68508
2012-03-13,5.2908802788,68755
2012-03-14,5.3905432922,68853
2012-03-15,5.3408208989,68881
2012-03-16,5.3395747914,69109
2012-03-17,5.2360035541,69174
2012-03-18,5.2701489854,69268
2012-03-19,4.6786725529,69371
2012-03-20,4.8308302162,69663
2012-03-21,4.8172295248,69931
2012-03-22,4.729608505,70034
2012-03-23,4.6916431765,70187
2012-03-24,4.6519862659,70401
2012-03-25,4.5522702624,69781
2012-03-26,4.6327223597,69846
2012-03-27,4.8113407352,69976
2012-03-28,4.7905893916,70163
2012-03-29,4.7940665722,70335
2012-03-30,4.8614093565,70564
2012-03-31,4.8897768732,70572
2012-04-01,4.7933256774,70322
2012-04-02,4.9830454787,70453
2012-04-03,4.9562331929,70709
2012-04-04,4.9178421777,70767
2012-04-05,4.9208492449,70338
2012-04-06,4.9491074322,70422
2012-04-07,4.7097119103,70352
2012-04-08,4.7788188492,70456
2012-04-09,4.8525473811,70431
2012-04-10,4.8414175938,70630
2012-04-11,4.9152507171,70856
2012-04-12,4.9011581473,70933
2012-04-13,4.9344067335,71029
2012-04-14,4.956364661,71112
2012-04-15,4.9616003384,71048
2012-04-16,4.9507645693,71205
2012-04-17,4.9687445076,70856
2012-04-18,5.124377443,70857
2012-04-19,5.1309065114,70795
2012-04-20,5.3665159681,71071
2012-04-21,5.282550339,71297
2012-04-22,5.1956089947,71272
2012-04-23,5.1108881917,71249
2012-04-24,5.0878672624,71436
2012-04-25,5.1488162455,71546
2012-04-26,5.0974192858,71174
2012-04-27,5.0958873399,71188
2012-04-28,4.9707366528,71280
2012-04-29,4.9026061777,71253
2012-04-30,4.9421168101,71359
2012-05-01,4.9871372274,71540
2012-05-02,5.0534373539,71769
2012-05-03,5.118872979,71893
2012-05-04,5.0855070883,72038
2012-05-05,5.0566395646,72132
2012-05-06,5.0478007729,68965
2012-05-07,5.067555867,68848
2012-05-08,5.0234664229,68895
2012-05-09,5.0413062355,68847
2012-05-10,4.9274887198,68889
2012-05-11,4.9637099775,68723
2012-05-12,4.946532235,68753
2012-05-13,4.9447950538,68810
2012-05-14,5.011435922,68873
2012-05-15,5.0336404004,68802
2012-05-16,5.0877845091,68769
