d,price_usd,realized_price
2011-10-27,3.0454078276,5.6624
2011-10-28,3.1796394366,5.6627
2011-10-29,3.5691889687,5.6612
2011-10-30,3.257403723,5.658
2011-10-31,3.2650982127,5.653
2011-11-01,3.1710077428,5.6466
2011-11-02,3.2558005666,5.6322
2011-11-03,3.1683163852,5.6283
2011-11-04,3.1201181718,5.6212
2011-11-05,2.9778175979,5.6153
2011-11-06,2.9627205769,5.6113
2011-11-07,3.0177576873,5.607
2011-11-08,3.056567111,5.5969
2011-11-09,2.9195672238,5.4256
2011-11-10,2.8567020853,5.4206
2011-11-11,3.0678617335,5.4145
2011-11-12,3.0255229959,5.412
2011-11-13,2.9863733033,5.4082
2011-11-14,2.2242244643,5.391
2011-11-15,2.3223841157,5.3837
2011-11-16,2.5467809307,5.0512
2011-11-17,2.2790958358,5.0222
2011-11-18,2.1050660032,4.9716
2011-11-19,2.2034567218,4.9719
2011-11-20,2.2019895096,4.9628
2011-11-21,2.2798791654,4.9618
2011-11-22,2.3224585961,4.9564
2011-11-23,2.3303235675,4.9505
2011-11-24,2.4388790003,4.9556
2011-11-25,2.4961610029,4.9543
2011-11-26,2.471799969,4.9321
2011-11-27,2.4775649512,4.929
2011-11-28,2.5412402522,4.8748
2011-11-29,2.7576984828,4.8898
2011-11-30,2.9660415459,4.9051
2011-12-01,3.08258945,4.9101
2011-12-02,3.1004023331,4.9093
2011-12-03,2.8038561853,4.885
2011-12-04,2.819693976,4.8838
2011-12-05,2.8747962274,4.8807
2011-12-06,3.0253604515,4.8866
2011-12-07,2.9855024211,4.8565
2011-12-08,2.9918804831,4.8565
2011-12-09,2.9557919521,4.8523
2011-12-10,3.0689752671,4.8533
2011-12-11,3.2492688472,4.8623
2011-12-12,3.1873353565,4.8626
2011-12-13,3.2410884085,4.8621
2011-12-14,3.1550865044,4.8529
2011-12-15,3.2031385406,4.8529
2011-12-16,3.2091377773,4.8525
2011-12-17,3.1925417043,4.85
2011-12-18,3.1940108089,4.8478
2011-12-19,3.5257739193,4.8563
2011-12-20,3.9525508273,4.873
2011-12-21,3.8889932507,4.8771
2011-12-22,3.9030604205,4.8815
2011-12-23,3.937965076,4.8854
2011-12-24,3.9394191186,4.884
2011-12-25,4.2338668778,4.8837
2011-12-26,3.9991219641,4.8848
2011-12-27,4.0955185459,4.8876
2011-12-28,4.2072958761,4.8918
2011-12-29,4.1733522268,4.8921
2011-12-30,4.31063509,4.8962
2011-12-31,4.7143063314,4.9051
2012-01-01,5.2948427773,4.9198
2012-01-02,5.2048778919,4.9135
2012-01-03,4.8705088288,4.9165
