d,Close,111dma
2013-01-01,13.331371422,12.205039637882882
2013-01-02,13.280606813,12.22215952548919
2013-01-03,13.3840811485,12.237060187886486
2013-01-04,13.4517211496,12.252675753058558
2013-01-05,13.4594067668,12.266842379572072
2013-01-06,13.5044965079,12.281222373722523
2013-01-07,13.5560616578,12.292901750471172
2013-01-08,13.7803506312,12.304392710227928
2013-01-09,13.8209552566,12.317489814798199
2013-01-10,14.1231728556,12.333611571733332
2013-01-11,14.2276211227,12.351754756396398
2013-01-12,14.214285656,12.370212617925224
2013-01-13,14.1607882671,12.38865585711982
2013-01-14,14.3179703203,12.407895180775675
2013-01-15,14.3136377516,12.425857531153154
2013-01-16,14.7078140479,12.447380618054957
2013-01-17,15.5985997396,12.476363882472974
2013-01-18,15.7157911239,12.506193068223423
2013-01-19,15.5881263998,12.5349904008991
2013-01-20,15.7195921373,12.564992175468468
2013-01-21,16.7810195207,12.600792008124325
2013-01-22,17.3001788387,12.6399338851
2013-01-23,17.5363954229,12.682042080100002
2013-01-24,16.9010860722,12.719419257154954
2013-01-25,17.4072020292,12.76358207080901
2013-01-26,17.5536291761,12.814749927482884
2013-01-27,17.8646280148,12.869986848804505
2013-01-28,18.7942648743,12.932740014920721
2013-01-29,19.5147141861,12.99945646274054
2013-01-30,19.7374466864,13.068554614795497
2013-01-31,20.5116430307,13.144983217190992
2013-02-01,20.4430919562,13.221706533649549
2013-02-02,19.6359017054,13.293646387204506
2013-02-03,20.5789396832,13.371760172396396
2013-02-04,20.4404879614,13.449169811066668
2013-02-05,20.6593447276,13.527908158516217
2013-02-06,21.2085655319,13.611535480024324
2013-02-07,22.1177651789,13.704871330309912
2013-02-08,22.7873650499,13.80480815461802
2013-02-09,23.7338601537,13.913604990183783
2013-02-10,23.9002893571,14.023147435627028
2013-02-11,24.4972726949,14.13836807495045
2013-02-12,24.9797364074,14.258596759819818
2013-02-13,24.6416509348,14.383714067157657
2013-02-14,27.2823898203,14.53823452055135
2013-02-15,27.1712692291,14.688802835266666
2013-02-16,27.346163562,14.83867852425856
2013-02-17,26.9272513764,14.98549395128919
2013-02-18,26.9288676371,15.130264623169367
2013-02-19,29.4136243808,15.294837168599098
2013-02-20,29.8198072276,15.46786664136126
2013-02-21,29.8180689158,15.641628490703603
2013-02-22,30.4726565324,15.820204252082883
2013-02-23,29.8064545459,15.991461654365766
