,the_date,mvrv_zscore,price_usd
162,2011-03-12,2.128155,0.9178155132
163,2011-03-13,2.025779,0.89249
164,2011-03-14,2.009377,0.8939249229
165,2011-03-15,1.922897,0.87224
166,2011-03-16,1.835444,0.8512116657
167,2011-03-17,1.740079,0.82542
168,2011-03-18,1.657601,0.8019592081
169,2011-03-19,1.532203,0.765
170,2011-03-20,1.452476,0.7415
171,2011-03-21,1.504346,0.75897
172,2011-03-22,1.658671,0.8091302928
173,2011-03-23,1.781046,0.84971
174,2011-03-24,1.835954,0.8723743659
175,2011-03-25,1.862087,0.88377
176,2011-03-26,1.756115,0.8552
177,2011-03-27,1.643356,0.822
178,2011-03-28,1.551898,0.7947405003
179,2011-03-29,1.540606,0.7925099416
180,2011-03-30,1.527951,0.7897063121
181,2011-03-31,1.508067,0.78461
182,2011-04-01,1.471183,0.77411
183,2011-04-02,1.493504,0.78199
184,2011-04-03,1.480593,0.779
185,2011-04-04,1.162019,0.68
186,2011-04-05,1.273213,0.7156918346
187,2011-04-06,1.348199,0.74
188,2011-04-07,1.389196,0.7538
189,2011-04-08,1.374467,0.74999
190,2011-04-09,1.322366,0.7340605172
191,2011-04-10,1.318218,0.7331568206
192,2011-04-11,1.431716,0.7701139334
193,2011-04-12,1.711051,0.8613816078
194,2011-04-13,1.915081,0.9303200584
195,2011-04-14,2.109118,0.9986297662
196,2011-04-15,2.040898,0.9836731368
197,2011-04-16,2.214584,1.046632858
198,2011-04-17,2.3458,1.0981220979
199,2011-04-18,2.466859,1.1494333115
200,2011-04-19,2.536178,1.1851622209
201,2011-04-20,2.382774,1.1421259848
202,2011-04-21,2.544949,1.207338872
203,2011-04-22,3.060665,1.4045050818
204,2011-04-23,4.131039,1.828852301
205,2011-04-24,3.484638,1.6319842198
206,2011-04-25,3.232662,1.5644836353
207,2011-04-26,3.69447,1.7708408901
208,2011-04-27,3.926626,1.9031759585
209,2011-04-28,4.700858,2.2857444658
210,2011-04-29,5.459586,2.85060509
211,2011-04-30,6.280071,3.5
212,2011-05-01,5.088322,3.0942275535
213,2011-05-02,5.020213,3.2
214,2011-05-03,5.026842,3.3605857037
215,2011-05-04,4.792276,3.4086730473
216,2011-05-05,4.472382,3.3437366844
217,2011-05-06,4.429998,3.4550755845
218,2011-05-07,4.524254,3.6412629778
219,2011-05-08,4.610463,3.848668377
220,2011-05-09,4.354983,3.8040895821
221,2011-05-10,6.327729,5.6516670023
222,2011-05-11,5.610936,5.4397510438
223,2011-05-12,6.133292,6.3348786943
224,2011-05-13,7.162512,8.1390348673
225,2011-05-14,5.583333,7.0072438293
226,2011-05-15,5.15263,6.9249248445
227,2011-05-16,5.554696,7.8851407452
228,2011-05-17,4.754441,7.2571995406
229,2011-05-18,4.172501,6.7631633624
230,2011-05-19,4.107954,6.8901436324
231,2011-05-20,3.062809,5.6180962186
232,2011-05-21,3.349226,6.0848006674
233,2011-05-22,3.671654,6.7119560397
234,2011-05-23,3.792199,7.0652567838
235,2011-05-24,3.886129,7.4026605821
236,2011-05-25,4.465975,8.5692896371
237,2011-05-26,4.407169,8.7821554342
238,2011-05-27,4.052563,8.5286584681
239,2011-05-28,3.823682,8.3492691198
240,2011-05-29,3.740269,8.4009534722
241,2011-05-30,3.826291,8.7793424646
242,2011-05-31,3.680078,8.721576422
243,2011-06-01,4.021319,9.623777232
244,2011-06-02,4.384263,10.7027602279
245,2011-06-03,5.705612,14.2646467738
246,2011-06-04,6.890492,18.3127387259
247,2011-06-05,5.696387,16.5433423963
248,2011-06-06,5.823497,18.4020986441
249,2011-06-07,6.905736,23.2378784629
250,2011-06-08,7.664756,29.0299213267
251,2011-06-09,6.787543,28.7905440181
252,2011-06-10,5.096037,24.0493992285
253,2011-06-11,2.620356,14.7497466277
254,2011-06-12,3.439248,18.8501447312
255,2011-06-13,3.472059,19.5423291146
256,2011-06-14,3.221781,19.2577355056
257,2011-06-15,3.105394,19.4641426242
258,2011-06-16,2.670707,17.9293625424
259,2011-06-17,2.062624,15.4363689129
260,2011-06-18,2.343371,16.8754045354
261,2011-06-19,2.428975,17.5107167914
262,2011-06-20,2.384265,17.5107167914
263,2011-06-21,2.335343,17.5107167914
264,2011-06-22,2.299774,17.5107167914
265,2011-06-23,2.264544,17.5107167914
266,2011-06-24,2.227992,17.5107167914
267,2011-06-25,2.196615,17.5107167914
268,2011-06-26,1.934436,16.3613420158
269,2011-06-27,1.969527,16.7522858133
270,2011-06-28,1.976945,16.9618353071
271,2011-06-29,1.928353,16.8545683179
272,2011-06-30,1.772275,16.1852627808
273,2011-07-01,1.614733,15.4203573992
274,2011-07-02,1.597996,15.3828440696
275,2011-07-03,1.598959,15.4575505605
276,2011-07-04,1.291527,13.8527968124
277,2011-07-05,1.115106,12.9648177148
278,2011-07-06,1.43697,14.7147835833
279,2011-07-07,1.442213,14.7972891613
280,2011-07-08,1.342534,14.299037697
281,2011-07-09,1.3514,14.3815006698
282,2011-07-10,1.382603,14.6229375511
283,2011-07-11,1.316926,14.3101554331
284,2011-07-12,1.257247,14.0212726216
285,2011-07-13,1.241804,13.9714545225
286,2011-07-14,1.240635,13.9979745476
287,2011-07-15,1.200421,13.8063904056
288,2011-07-16,1.179056,13.7130792992
289,2011-07-17,1.092536,13.2581353109
290,2011-07-18,1.196549,13.6305212504
291,2011-07-19,1.224608,13.8247948387
292,2011-07-20,1.207457,13.6783305921
293,2011-07-21,1.191533,13.6118084418
294,2011-07-22,1.203129,13.6985473311
295,2011-07-23,1.195683,13.6817183425
296,2011-07-24,1.245464,13.9925151765
297,2011-07-25,1.247199,14.0334253787
298,2011-07-26,1.214964,13.8780323232
299,2011-07-27,1.209983,13.8782247551
300,2011-07-28,1.140187,13.4915910757
301,2011-07-29,1.139808,13.5123163901
302,2011-07-30,1.139921,13.5402806739
303,2011-07-31,1.108633,13.3729061023
304,2011-08-01,1.045699,13.0191138469
305,2011-08-02,0.904643,12.2141564389
306,2011-08-03,0.407048,9.2863569135
307,2011-08-04,0.664969,10.7685037481
308,2011-08-05,0.487718,9.7301539597
309,2011-08-06,0.021463,6.9641697358
310,2011-08-07,0.292491,8.5017932922
311,2011-08-08,0.184611,7.7753376379
312,2011-08-09,0.538989,9.802499481
313,2011-08-10,0.582294,10.0512531274
314,2011-08-11,0.47667,9.4384129947
315,2011-08-12,0.479582,9.4529932852
316,2011-08-13,0.576049,10.0040247446
317,2011-08-14,0.715907,10.8068207665
318,2011-08-15,0.771039,11.13069655
319,2011-08-16,0.744423,10.9919655669
320,2011-08-17,0.737409,10.9639640561
321,2011-08-18,0.717657,10.8584714559
322,2011-08-19,0.858434,11.6704730432
323,2011-08-20,0.819643,11.4597317393
324,2011-08-21,0.800387,11.3544813407
325,2011-08-22,0.723421,10.9208958247
326,2011-08-23,0.723006,10.9172450544
327,2011-08-24,0.714099,10.8704442899
328,2011-08-25,0.471653,9.5460936736
329,2011-08-26,0.220702,8.1269201631
330,2011-08-27,0.371764,8.5964976067
331,2011-08-28,0.448344,9.0308663998
332,2011-08-29,0.435127,8.9611572706
333,2011-08-30,0.409136,8.8099487382
334,2011-08-31,0.301925,8.1991517645
335,2011-09-01,0.309952,8.2342816651
336,2011-09-02,0.378626,8.6214244378
337,2011-09-03,0.348388,8.4496534407
338,2011-09-04,0.305486,8.2034706023
339,2011-09-05,0.199277,7.5973325251
340,2011-09-06,0.068228,6.8465300289
341,2011-09-07,0.126623,7.1629702735
342,2011-09-08,0.043299,6.6781800003
343,2011-09-09,-0.257248,4.9867770418
344,2011-09-10,-0.299583,4.7428466552
345,2011-09-11,-0.053597,5.8529039725
346,2011-09-12,-0.008086,6.0906294722
347,2011-09-13,-0.057228,5.802523277
348,2011-09-14,-0.093331,5.5974326102
349,2011-09-15,-0.224088,4.8677551847
350,2011-09-16,-0.228698,4.8311681005
351,2011-09-17,-0.238231,4.7752856353
352,2011-09-18,-0.15367,5.2367322782
353,2011-09-19,-0.100511,5.520376692
354,2011-09-20,0.015123,6.1466655517
355,2011-09-21,-0.085278,5.597067498
356,2011-09-22,-0.105907,5.4750487767
357,2011-09-23,-0.088887,5.5634214196
358,2011-09-24,-0.108058,5.4578896873
359,2011-09-25,-0.123098,5.3411548814
360,2011-09-26,-0.209146,4.8738260812
361,2011-09-27,-0.201588,4.9111577925
362,2011-09-28,-0.228475,4.7634153214
363,2011-09-29,-0.225487,4.7776609784
364,2011-09-30,-0.157047,5.14368591
365,2011-10-01,-0.176037,5.0340705447
366,2011-10-02,-0.179791,5.0070625967
367,2011-10-03,-0.176003,5.0228448603
368,2011-10-04,-0.187919,4.9568056207
369,2011-10-05,-0.200804,4.8850671309
370,2011-10-06,-0.229706,4.7301662957
371,2011-10-07,-0.313541,4.2760357569
372,2011-10-08,-0.368802,3.9812529942
373,2011-10-09,-0.342559,4.1116346435
374,2011-10-10,-0.348061,4.0749624839
375,2011-10-11,-0.358994,4.0089244959
376,2011-10-12,-0.327162,4.1662353425
377,2011-10-13,-0.351523,4.03698109
378,2011-10-14,-0.359963,3.9862808854
379,2011-10-15,-0.388265,3.8373385605
380,2011-10-16,-0.431712,3.6097417165
381,2011-10-17,-0.624053,2.5812467218
382,2011-10-18,-0.652143,2.4222747382
383,2011-10-19,-0.68629,2.217254713
384,2011-10-20,-0.658363,2.3561235085
385,2011-10-21,-0.616603,2.5700923051
386,2011-10-22,-0.501164,3.1554861385
387,2011-10-23,-0.502748,3.1477509299
388,2011-10-24,-0.624212,2.5229359977
389,2011-10-25,-0.569358,2.8019238311
390,2011-10-26,-0.570764,2.777505239
391,2011-10-27,-0.518479,3.0454078276
392,2011-10-28,-0.492808,3.1796394366
393,2011-10-29,-0.415958,3.5691889687
394,2011-10-30,-0.478172,3.257403723
395,2011-10-31,-0.476552,3.2650982127
396,2011-11-01,-0.495069,3.1710077428
397,2011-11-02,-0.476216,3.2558005666
