d,Close,350dma_x2
2013-01-01,13.331371422,16.802624858898856
2013-01-02,13.280606813,16.844798433326858
2013-01-03,13.3840811485,16.88518914650914
2013-01-04,13.4517211496,16.92490474171657
2013-01-05,13.4594067668,16.966498104238283
2013-01-06,13.5044965079,17.007649700130287
2013-01-07,13.5560616578,17.048685046305714
2013-01-08,13.7803506312,17.091575755765717
2013-01-09,13.8209552566,17.137349985389143
2013-01-10,14.1231728556,17.187383961967427
2013-01-11,14.2276211227,17.238381012971427
2013-01-12,14.214285656,17.28726380657714
2013-01-13,14.1607882671,17.337374428347427
2013-01-14,14.3179703203,17.387742933385717
2013-01-15,14.3136377516,17.437888175990857
2013-01-16,14.7078140479,17.487217212537143
2013-01-17,15.5985997396,17.541497365832573
2013-01-18,15.7157911239,17.597292681240575
2013-01-19,15.5881263998,17.652679613588
2013-01-20,15.7195921373,17.710059478846286
2013-01-21,16.7810195207,17.77462151005943
2013-01-22,17.3001788387,17.841125230850857
2013-01-23,17.5363954229,17.909227329325144
2013-01-24,16.9010860722,17.972458107713713
2013-01-25,17.4072020292,18.037997352706288
2013-01-26,17.5536291761,18.10623447455086
2013-01-27,17.8646280148,18.17678036509543
2013-01-28,18.7942648743,18.253614138324
2013-01-29,19.5147141861,18.33950591029143
2013-01-30,19.7374466864,18.427574060945144
2013-01-31,20.5116430307,18.520467798006287
2013-02-01,20.4430919562,18.61219096133943
2013-02-02,19.6359017054,18.699995649498284
2013-02-03,20.5789396832,18.792506439355428
2013-02-04,20.4404879614,18.88436559376971
2013-02-05,20.6593447276,18.97776118877314
2013-02-06,21.2085655319,19.073699790169144
2013-02-07,22.1177651789,19.17128979051657
2013-02-08,22.7873650499,19.272785540750856
2013-02-09,23.7338601537,19.381135785165714
2013-02-10,23.9002893571,19.489557890912
2013-02-11,24.4972726949,19.601242216275427
2013-02-12,24.9797364074,19.716227808457145
2013-02-13,24.6416509348,19.829192963766285
2013-02-14,27.2823898203,19.95696620774743
2013-02-15,27.1712692291,20.085288754273144
2013-02-16,27.346163562,20.215105727470284
2013-02-17,26.9272513764,20.34135205258343
2013-02-18,26.9288676371,20.466760479630285
2013-02-19,29.4136243808,20.606336382649715
2013-02-20,29.8198072276,20.748454636038286
2013-02-21,29.8180689158,20.890643718442856
2013-02-22,30.4726565324,21.036931482356575
2013-02-23,29.8064545459,21.17958880087714
2013-02-24,29.8828484924,21.322393485110286
2013-02-25,30.352033095,21.467771734914287
2013-02-26,31.1555373507,21.61556977532514
2013-02-27,31.240261083,21.763282448415428
2013-02-28,33.3752939366,21.923479437202285
2013-03-01,34.6062570341,22.090717621446284
2013-03-02,34.143515924,22.25590340641714
2013-03-03,34.4517404845,22.422655357840572
2013-03-04,36.3762652507,22.603784458970857
2013-03-05,40.6729539903,22.80859659482286
2013-03-06,43.2849961852,23.028412404310856
2013-03-07,41.9474407158,23.241085731229717
2013-03-08,43.902928915,23.465150221164
2013-03-09,46.8885866123,23.706502223143428
2013-03-10,46.066038459,23.943723755695427
2013-03-11,48.2750745772,24.193108625509712
2013-03-12,44.4135452582,24.419406937069716
2013-03-13,47.0161908516,24.660696088269713
2013-03-14,46.9255625535,24.901447493877146
2013-03-15,46.9025172478,25.141682396113143
2013-03-16,47.1570156996,25.38320947512114
2013-03-17,47.3334997838,25.626296184300575
2013-03-18,51.3654363913,25.891338418086853
2013-03-19,59.4986011114,26.20300909190686
2013-03-20,63.6874854982,26.538835625166858
2013-03-21,70.9175250053,26.91595948665486
2013-03-22,69.8460845418,27.28679935585257
2013-03-23,64.3831163705,27.627790238482284
2013-03-24,71.6904242065,28.01014226909543
2013-03-25,74.3140892496,28.407065365486858
2013-03-26,78.614197432,28.82862410741943
2013-03-27,88.8520799138,29.30826313140057
2013-03-28,87.6731739608,29.781246078906285
2013-03-29,90.2956993583,30.269024893905144
2013-03-30,92.1899599883,30.767502581489715
2013-03-31,93.8992384231,31.275717656259427
2013-04-01,103.5803469112,31.839315269641716
2013-04-02,116.6799442412,32.477664982405145
2013-04-03,131.3848093782,33.199153164891996
2013-04-04,133.0071204757,33.92987438754514
2013-04-05,142.626065488,34.714214670516
2013-04-06,143.0818229649,35.50163908552114
2013-04-07,162.8522145769,36.40253397456229
2013-04-08,186.351161848,37.43819268116972
2013-04-09,230.6829966952,38.7273077065
2013-04-10,161.192889661,39.61898812601714
2013-04-11,82.901585038,40.06358335888686
2013-04-12,111.476373194,40.67147184948171
2013-04-13,97.6090718703,41.20083376501029
2013-04-14,88.8614913998,41.68059882342229
2013-04-15,80.874693166,42.11449925974171
2013-04-16,68.2831387271,42.47619069688286
2013-04-17,92.8640369135,42.97796555150914
2013-04-18,108.6283450923,43.56944824929943
2013-04-19,119.012283239,44.220458398732
2013-04-20,128.208288893,44.924182109179995
2013-04-21,118.4832437563,45.57238464051371
2013-04-22,126.3142717598,46.265223017044
2013-04-23,142.1272180532,47.04867302635999
2013-04-24,154.1332778045,47.900627149611424
2013-04-25,141.0086592785,48.67823383851829
2013-04-26,137.2096004196,49.43392464104457
2013-04-27,128.2266696052,50.138382568874285
2013-04-28,134.6235695617,50.87940413749086
2013-04-29,143.8103781926,51.672540950465724
2013-04-30,139.1296475453,52.43880384843657
2013-05-01,116.1138010403,53.073238228614855
2013-05-02,106.3409846973,53.65181721724858
2013-05-03,96.3168402741,54.17295172462743
2013-05-04,112.4976363691,54.78658081352972
2013-05-05,116.488715827,55.423120898436
2013-05-06,112.1185961952,56.034688754922286
2013-05-07,111.6092128735,56.643374890263416
2013-05-08,113.1360618548,57.26055890714914
2013-05-09,111.9745327107,57.871161049729146
2013-05-10,117.6910368837,58.514325393027434
2013-05-11,115.4997776628,59.14515852935885
2013-05-12,114.8856755596,59.77230744035658
2013-05-13,117.4044566461,60.41383961879658
2013-05-14,107.8655665693,61.000794452348
2013-05-15,108.9868524255,61.59421495438343
2013-05-16,112.9178740503,62.209850579121145
2013-05-17,117.284616014,62.84995156344114
2013-05-18,118.1698766803,63.49524434984171
2013-05-19,117.033880187,64.13422249385428
2013-05-20,117.8186364699,64.77742175449714
2013-05-21,117.2520409117,65.41642762087885
2013-05-22,118.9781735827,66.06518193036857
2013-05-23,123.7261560491,66.74026185173601
2013-05-24,128.9710806546,67.44511071775257
2013-05-25,128.8449152542,68.149613077288
2013-05-26,130.1586011105,68.862188548952
2013-05-27,126.392905903,69.55250802850286
2013-05-28,125.9045952659,70.23923433688685
2013-05-29,129.5648123904,70.94583725726743
2013-05-30,126.5130683811,71.63470037269029
2013-05-31,127.8164888954,72.32780384798286
2013-06-01,128.7911510812,73.02692952111943
2013-06-02,122.6267089421,73.69222519228572
2013-06-03,122.9491879018,74.35873001076115
2013-06-04,120.1899687317,75.00841653656515
2013-06-05,120.8699238457,75.66085295250913
2013-06-06,119.0539756698,76.30303417060057
2013-06-07,110.1977314436,76.89522828343372
2013-06-08,109.1785453413,77.48226259001771
2013-06-09,99.9036034483,78.01685178664457
2013-06-10,104.3575666277,78.57708088948858
2013-06-11,107.5075204559,79.154650373072
2013-06-12,106.3781163063,79.72472124681371
2013-06-13,101.3238977206,80.26605743588571
2013-06-14,99.2132443016,80.79494010756801
2013-06-15,99.875037405,81.32748073489371
2013-06-16,99.0383512566,81.85554639868971
2013-06-17,100.1263050847,82.38916255316914
2013-06-18,104.2891763822,82.94824360447714
2013-06-19,104.417150789,83.50768540708229
2013-06-20,104.3234997078,84.06586312767372
2013-06-21,101.4168573933,84.60726127741029
2013-06-22,100.0395084746,85.14001119034
2013-06-23,100.3147445938,85.67440220123085
2013-06-24,99.0456832262,86.20019241460344
2013-06-25,97.83278872,86.718216464228
2013-06-26,98.6517007598,87.240882481204
2013-06-27,96.8039495991,87.75087113234058
2013-06-28,89.4245067212,88.21826304928457
2013-06-29,88.7972910579,88.682361117168
2013-06-30,89.4809076563,89.15009639029142
2013-07-01,82.8675701344,89.57509161576
2013-07-02,87.8164666861,90.02688865479429
2013-07-03,77.6913308007,90.41886658687771
2013-07-04,79.1348708358,90.82032565786228
2013-07-05,67.4476238527,91.15698379028285
2013-07-06,66.3416808884,91.48536113341086
2013-07-07,72.1095223729,91.84880661814685
2013-07-08,73.9885537697,92.22284857529144
2013-07-09,74.8919108708,92.60180472214914
2013-07-10,85.013679135,93.037486618504
2013-07-11,87.4975493863,93.48675395759028
2013-07-12,90.0466987142,93.95049817941886
2013-07-13,91.592597896,94.42335553371484
2013-07-14,89.8922692759,94.8870388972383
2013-07-15,93.7961525424,95.37108367034342
2013-07-16,91.7810356517,95.84228388319829
2013-07-17,91.0313512566,96.30778862807085
2013-07-18,84.9617291175,96.73299256762172
2013-07-19,86.2387945996,97.16340930963885
2013-07-20,84.9108591467,97.58621584830114
2013-07-21,85.6643502618,98.01398289335371
2013-07-22,85.6490286382,98.441294791276
2013-07-23,86.977056692,98.87578494700115
2013-07-24,88.1517305669,99.31624974111658
2013-07-25,90.1660922268,99.76803469816115
2013-07-26,89.9839859731,100.21681422483884
2013-07-27,88.1652758621,100.65465845532401
2013-07-28,92.7458421975,101.11839153993944
2013-07-29,93.2986972531,101.58304145001199
2013-07-30,96.659552893,102.06574119522344
2013-07-31,98.0244199299,102.55062315280057
2013-08-01,96.5680178258,103.025578735664
