d,price_usd,sth_realized_price
2015-12-27,422.7058945061,360.714375349945
2015-12-28,421.0528796026,360.43142735072155
2015-12-29,431.3400213326,360.98027058495245
2015-12-30,426.0436469901,361.1894452775228
2015-12-31,429.6771534191,362.0652577610194
2016-01-01,434.678006429,362.7894337992567
2016-01-02,434.4398772648,363.20713886499556
2016-01-03,430.1361800117,364.09937411396976
2016-01-04,433.4489710696,364.86448072326203
2016-01-05,432.66950263,365.6059344330095
2016-01-06,430.6778696669,366.16182606447813
2016-01-07,459.2089400935,369.08404276654085
2016-01-08,454.1344237288,370.4534137693104
2016-01-09,449.8452162478,370.8847727666068
2016-01-10,448.5802162478,372.53336271041
2016-01-11,449.0330590298,374.3416345222716
2016-01-12,441.768157218,375.0745172736344
2016-01-13,432.3106452367,375.12664680184065
2016-01-14,429.8232247224,375.1287696015942
2016-01-15,367.8231998831,371.14213399603796
2016-01-16,388.0712045587,374.4860199830909
2016-01-17,382.4820864991,374.3298794456553
2016-01-18,384.8651665693,373.76602060385
2016-01-19,378.1617250146,373.1128519605131
2016-01-20,420.6229241683,375.95613163262584
2016-01-21,409.2984596727,375.7686455853171
2016-01-22,381.0464593805,374.2665306170531
2016-01-23,386.3706025716,374.44201767415024
2016-01-24,403.4469266511,375.61512994582256
2016-01-25,391.9860973115,375.94873191129136
2016-01-26,391.1429351257,376.1061347276566
2016-01-27,394.6275303741,376.4032989151518
2016-01-28,378.9009956166,374.9443370498505
2016-01-29,378.9999948229,373.5480151070188
2016-01-30,377.2627790766,373.6986081932641
2016-01-31,366.3416876096,373.22436490365624
2016-02-01,371.2234350906,372.16586756746943
2016-02-02,372.9276312098,371.9047583116265
2016-02-03,368.0982066043,371.39307930689864
2016-02-04,389.723081239,373.0920420889438
2016-02-05,384.3984139831,372.9915482965089
2016-02-06,374.6315555231,372.46290932758035
2016-02-07,375.1539175921,373.5316405193605
2016-02-08,370.8143503273,373.09565833276565
2016-02-09,373.5116128609,373.3122597651746
2016-02-10,379.0826116306,373.9683982418353
2016-02-11,377.6391651081,373.94834158126685
2016-02-12,382.2944564582,374.33564963464744
2016-02-13,389.5984324722,375.00769006947587
2016-02-14,406.1506694915,376.4614115198897
2016-02-15,399.267618647,377.9260324412676
2016-02-16,407.0353094681,379.7768046814599
2016-02-17,415.324113384,381.5239829674951
2016-02-18,421.2896629819,383.7959260091906
2016-02-19,419.6265285412,383.6913264219165
2016-02-20,440.1957600818,385.76277899018635
