d,price_usd,realized_cap
2011-05-23,7.0652567838,9932257.7751
2011-05-24,7.4026605821,10175493.3314
2011-05-25,8.5692896371,10462576.2508
2011-05-26,8.7821554342,10772817.3557
2011-05-27,8.5286584681,11423510.8906
2011-05-28,8.3492691198,11533015.057
2011-05-29,8.4009534722,11669337.3529
2011-05-30,8.7793424646,11902393.8505
2011-05-31,8.721576422,12116518.8794
2011-06-01,9.623777232,12379679.9106
2011-06-02,10.7027602279,12882031.832
2011-06-03,14.2646467738,14249893.2201
2011-06-04,18.3127387259,15215642.0708
2011-06-05,16.5433423963,16212873.1599
2011-06-06,18.4020986441,19720244.8409
2011-06-07,23.2378784629,20801474.8353
2011-06-08,29.0299213267,25436571.2497
2011-06-09,28.7905440181,28225179.0904
2011-06-10,24.0493992285,30416088.254
2011-06-11,14.7497466277,30211345.0026
2011-06-12,18.8501447312,34071314.3648
2011-06-13,19.5423291146,35330054.5822
2011-06-14,19.2577355056,38087254.8042
2011-06-15,19.4641426242,40711128.2051
2011-06-16,17.9293625424,41482005.5335
2011-06-17,15.4363689129,41836948.6144
2011-06-18,16.8754045354,42264285.5496
2011-06-19,17.5107167914,42932044.9172
2011-06-20,17.5107167914,43327695.9166
2011-06-21,17.5107167914,43938737.2222
2011-06-22,17.5107167914,44207946.0375
2011-06-23,17.5107167914,44504543.6601
2011-06-24,17.5107167914,44876297.3662
2011-06-25,17.5107167914,45069464.3717
2011-06-26,16.3613420158,45398804.1112
2011-06-27,16.7522858133,46268449.8787
2011-06-28,16.9618353071,46821664.3602
2011-06-29,16.8545683179,47195320.3118
2011-06-30,16.1852627808,47623326.9971
2011-07-01,15.4203573992,47603254.9173
2011-07-02,15.3828440696,47636832.5675
2011-07-03,15.4575505605,47809706.0227
2011-07-04,13.8527968124,47694940.0517
2011-07-05,12.9648177148,47870834.2447
2011-07-06,14.7147835833,48045582.8606
2011-07-07,14.7972891613,48194260.8681
2011-07-08,14.299037697,48264185.378
2011-07-09,14.3815006698,48343323.7432
2011-07-10,14.6229375511,48663740.2088
2011-07-11,14.3101554331,48807350.6257
2011-07-12,14.0212726216,48918447.7009
2011-07-13,13.9714545225,49072773.2793
2011-07-14,13.9979745476,49188829.8205
2011-07-15,13.8063904056,49302537.027
2011-07-16,13.7130792992,49392294.5437
2011-07-17,13.2581353109,49499960.2112
2011-07-18,13.6305212504,48066813.3046
2011-07-19,13.8247948387,48248040.0643
2011-07-20,13.6783305921,47823361.8023
2011-07-21,13.6118084418,47910773.5297
2011-07-22,13.6985473311,47996226.3203
2011-07-23,13.6817183425,48100333.0656
2011-07-24,13.9925151765,48252070.9663
2011-07-25,14.0334253787,48398075.6223
2011-07-26,13.8780323232,48529230.6509
2011-07-27,13.8782247551,48677291.2613
2011-07-28,13.4915910757,48696607.6667
2011-07-29,13.5123163901,48825291.7102
2011-07-30,13.5402806739,48977741.068
2011-07-31,13.3729061023,49040254.287
2011-08-01,13.0191138469,49073810.7754
2011-08-02,12.2141564389,49098426.8581
2011-08-03,9.2863569135,48574233.7024
2011-08-04,10.7685037481,48689261.8643
2011-08-05,9.7301539597,48563388.0513
2011-08-06,6.9641697358,47861181.1421
2011-08-07,8.5017932922,47877246.506
2011-08-08,7.7753376379,47143740.0571
2011-08-09,9.802499481,47307495.4959
2011-08-10,10.0512531274,47392272.2275
2011-08-11,9.4384129947,47357204.14
2011-08-12,9.4529932852,47401574.8101
2011-08-13,10.0040247446,47487714.3452
2011-08-14,10.8068207665,47609420.7633
2011-08-15,11.13069655,47729602.1126
2011-08-16,10.9919655669,47864886.2871
2011-08-17,10.9639640561,47993145.9923
2011-08-18,10.8584714559,48090150.4345
2011-08-19,11.6704730432,48223608.2337
2011-08-20,11.4597317393,48333489.9296
2011-08-21,11.3544813407,48414040.6774
2011-08-22,10.9208958247,48498136.2371
2011-08-23,10.9172450544,48547660.7064
2011-08-24,10.8704442899,48621965.0923
2011-08-25,9.5460936736,49029870.1805
2011-08-26,8.1269201631,49099549.6982
2011-08-27,8.5964976067,46415433.5139
2011-08-28,9.0308663998,46484455.8764
2011-08-29,8.9611572706,46582657.1493
2011-08-30,8.8099487382,46615466.6857
2011-08-31,8.1991517645,46629558.334
2011-09-01,8.2342816651,46616064.9918
2011-09-02,8.6214244378,46700178.7346
2011-09-03,8.4496534407,46748966.2107
2011-09-04,8.2034706023,46764961.2704
2011-09-05,7.5973325251,46738393.048
2011-09-06,6.8465300289,46650590.6754
2011-09-07,7.1629702735,46639838.4926
2011-09-08,6.6781800003,46528795.1618
2011-09-09,4.9867770418,46386415.2544
2011-09-10,4.7428466552,46335478.3495
2011-09-11,5.8529039725,44564331.7393
2011-09-12,6.0906294722,44508064.4051
2011-09-13,5.802523277,44419642.3617
2011-09-14,5.5974326102,44407917.7705
2011-09-15,4.8677551847,44343820.9831
2011-09-16,4.8311681005,44279628.0853
2011-09-17,4.7752856353,44273141.6437
2011-09-18,5.2367322782,44312403.6263
2011-09-19,5.520376692,44303672.9032
2011-09-20,6.1466655517,44337464.7454
2011-09-21,5.597067498,44333434.8042
2011-09-22,5.4750487767,44292894.2991
2011-09-23,5.5634214196,44300989.3551
2011-09-24,5.4578896873,44314996.8861
2011-09-25,5.3411548814,44083131.6246
2011-09-26,4.8738260812,44064680.5178
2011-09-27,4.9111577925,44065709.475
