d,price_usd,terminal_price
2011-06-12,18.8501447312,18.75
2011-06-13,19.5423291146,20.33
2011-06-14,19.2577355056,25.39
2011-06-15,19.4641426242,27.46
2011-06-16,17.9293625424,29.29
2011-06-17,15.4363689129,29.8
2011-06-18,16.8754045354,29.84
2011-06-19,17.5107167914,31.39
2011-06-20,17.5107167914,31.51
2011-06-21,17.5107167914,31.6
2011-06-22,17.5107167914,31.55
2011-06-23,17.5107167914,31.66
2011-06-24,17.5107167914,31.83
2011-06-25,17.5107167914,31.84
2011-06-26,16.3613420158,32.26
2011-06-27,16.7522858133,33.25
2011-06-28,16.9618353071,33.86
2011-06-29,16.8545683179,33.99
2011-06-30,16.1852627808,34.09
2011-07-01,15.4203573992,34.11
2011-07-02,15.3828440696,34.09
2011-07-03,15.4575505605,34.08
2011-07-04,13.8527968124,34.08
2011-07-05,12.9648177148,34.35
2011-07-06,14.7147835833,34.34
2011-07-07,14.7972891613,34.34
2011-07-08,14.299037697,34.33
2011-07-09,14.3815006698,34.28
2011-07-10,14.6229375511,34.55
2011-07-11,14.3101554331,34.61
2011-07-12,14.0212726216,34.59
2011-07-13,13.9714545225,34.53
2011-07-14,13.9979745476,34.51
2011-07-15,13.8063904056,34.46
2011-07-16,13.7130792992,34.4
2011-07-17,13.2581353109,34.38
2011-07-18,13.6305212504,35.08
2011-07-19,13.8247948387,35.11
2011-07-20,13.6783305921,35.32
2011-07-21,13.6118084418,35.25
2011-07-22,13.6985473311,35.19
2011-07-23,13.6817183425,35.13
2011-07-24,13.9925151765,35.09
2011-07-25,14.0334253787,35.06
2011-07-26,13.8780323232,35.0
2011-07-27,13.8782247551,34.95
2011-07-28,13.4915910757,34.96
2011-07-29,13.5123163901,34.93
2011-07-30,13.5402806739,34.94
2011-07-31,13.3729061023,34.95
2011-08-01,13.0191138469,34.94
2011-08-02,12.2141564389,34.94
2011-08-03,9.2863569135,34.95
2011-08-04,10.7685037481,34.99
2011-08-05,9.7301539597,34.99
2011-08-06,6.9641697358,35.01
2011-08-07,8.5017932922,34.99
2011-08-08,7.7753376379,35.01
2011-08-09,9.802499481,34.95
2011-08-10,10.0512531274,34.89
2011-08-11,9.4384129947,34.85
2011-08-12,9.4529932852,34.78
2011-08-13,10.0040247446,34.74
2011-08-14,10.8068207665,34.69
2011-08-15,11.13069655,34.67
2011-08-16,10.9919655669,34.62
2011-08-17,10.9639640561,34.58
2011-08-18,10.8584714559,34.55
2011-08-19,11.6704730432,34.51
2011-08-20,11.4597317393,34.47
2011-08-21,11.3544813407,34.4
2011-08-22,10.9208958247,34.36
2011-08-23,10.9172450544,34.3
2011-08-24,10.8704442899,34.25
2011-08-25,9.5460936736,34.75
2011-08-26,8.1269201631,34.88
2011-08-27,8.5964976067,35.62
2011-08-28,9.0308663998,35.59
2011-08-29,8.9611572706,35.62
2011-08-30,8.8099487382,35.55
2011-08-31,8.1991517645,35.48
2011-09-01,8.2342816651,35.41
2011-09-02,8.6214244378,35.41
2011-09-03,8.4496534407,35.34
2011-09-04,8.2034706023,35.27
2011-09-05,7.5973325251,35.27
2011-09-06,6.8465300289,35.26
2011-09-07,7.1629702735,35.27
2011-09-08,6.6781800003,35.26
2011-09-09,4.9867770418,35.32
2011-09-10,4.7428466552,35.25
2011-09-11,5.8529039725,35.43
2011-09-12,6.0906294722,35.4
2011-09-13,5.802523277,35.47
2011-09-14,5.5974326102,35.47
2011-09-15,4.8677551847,35.39
2011-09-16,4.8311681005,35.34
2011-09-17,4.7752856353,35.29
2011-09-18,5.2367322782,35.21
2011-09-19,5.520376692,35.15
2011-09-20,6.1466655517,35.11
2011-09-21,5.597067498,35.04
2011-09-22,5.4750487767,34.97
2011-09-23,5.5634214196,34.93
2011-09-24,5.4578896873,34.86
2011-09-25,5.3411548814,34.83
2011-09-26,4.8738260812,34.77
2011-09-27,4.9111577925,34.72
2011-09-28,4.7634153214,34.65
2011-09-29,4.7776609784,34.58
2011-09-30,5.14368591,34.53
2011-10-01,5.0340705447,34.48
2011-10-02,5.0070625967,34.42
2011-10-03,5.0228448603,34.35
2011-10-04,4.9568056207,34.29
2011-10-05,4.8850671309,34.22
2011-10-06,4.7301662957,34.3
2011-10-07,4.2760357569,34.24
2011-10-08,3.9812529942,34.17
2011-10-09,4.1116346435,34.13
2011-10-10,4.0749624839,34.08
2011-10-11,4.0089244959,34.03
2011-10-12,4.1662353425,33.98
2011-10-13,4.03698109,33.93
2011-10-14,3.9862808854,33.87
2011-10-15,3.8373385605,33.81
2011-10-16,3.6097417165,33.76
2011-10-17,2.5812467218,33.77
2011-10-18,2.4222747382,33.72
2011-10-19,2.217254713,33.68
2011-10-20,2.3561235085,33.61
2011-10-21,2.5700923051,33.54
2011-10-22,3.1554861385,33.51
2011-10-23,3.1477509299,33.45
2011-10-24,2.5229359977,33.38
2011-10-25,2.8019238311,33.32
2011-10-26,2.777505239,33.26
2011-10-27,3.0454078276,33.22
2011-10-28,3.1796394366,33.16
2011-10-29,3.5691889687,33.1
2011-10-30,3.257403723,33.06
2011-10-31,3.2650982127,33.0
2011-11-01,3.1710077428,32.95
2011-11-02,3.2558005666,32.88
2011-11-03,3.1683163852,32.85
2011-11-04,3.1201181718,32.8
2011-11-05,2.9778175979,32.73
2011-11-06,2.9627205769,32.66
2011-11-07,3.0177576873,32.6
2011-11-08,3.056567111,32.54
2011-11-09,2.9195672238,32.64
2011-11-10,2.8567020853,32.62
2011-11-11,3.0678617335,32.56
2011-11-12,3.0255229959,32.53
2011-11-13,2.9863733033,32.46
2011-11-14,2.2242244643,32.43
2011-11-15,2.3223841157,32.39
2011-11-16,2.5467809307,32.77
2011-11-17,2.2790958358,32.75
2011-11-18,2.1050660032,32.7
2011-11-19,2.2034567218,32.65
2011-11-20,2.2019895096,32.6
2011-11-21,2.2798791654,32.56
2011-11-22,2.3224585961,32.54
2011-11-23,2.3303235675,32.48
2011-11-24,2.4388790003,32.47
2011-11-25,2.4961610029,32.42
2011-11-26,2.471799969,32.38
2011-11-27,2.4775649512,32.33
2011-11-28,2.5412402522,32.33
2011-11-29,2.7576984828,32.32
2011-11-30,2.9660415459,32.29
2011-12-01,3.08258945,32.25
2011-12-02,3.1004023331,32.19
2011-12-03,2.8038561853,32.13
2011-12-04,2.819693976,32.1
2011-12-05,2.8747962274,32.06
2011-12-06,3.0253604515,32.0
2011-12-07,2.9855024211,31.97
2011-12-08,2.9918804831,31.95
2011-12-09,2.9557919521,31.89
2011-12-10,3.0689752671,31.83
2011-12-11,3.2492688472,31.82
2011-12-12,3.1873353565,31.77
2011-12-13,3.2410884085,31.71
2011-12-14,3.1550865044,31.66
2011-12-15,3.2031385406,31.61
2011-12-16,3.2091377773,31.58
2011-12-17,3.1925417043,31.52
2011-12-18,3.1940108089,31.46
2011-12-19,3.5257739193,31.47
2011-12-20,3.9525508273,31.48
2011-12-21,3.8889932507,31.43
2011-12-22,3.9030604205,31.37
2011-12-23,3.937965076,31.32
2011-12-24,3.9394191186,31.27
2011-12-25,4.2338668778,31.23
2011-12-26,3.9991219641,31.18
2011-12-27,4.0955185459,31.12
2011-12-28,4.2072958761,31.09
2011-12-29,4.1733522268,31.05
2011-12-30,4.31063509,31.0
2011-12-31,4.7143063314,30.95
2012-01-01,5.2948427773,31.0
2012-01-02,5.2048778919,30.99
2012-01-03,4.8705088288,30.96
2012-01-04,5.5857062671,30.92
2012-01-05,6.8740008773,30.93
2012-01-06,6.68331664,30.92
2012-01-07,6.7962279807,30.89
