d,price_usd,address_10k
2012-06-04,5.2587658574,74.0
2012-06-05,5.4260142949,74.0
2012-06-06,5.446169422,74.0
2012-06-07,5.5871698098,74.0
2012-06-08,5.6225291017,74.0
2012-06-09,5.5570023355,75.0
2012-06-10,5.4578935693,76.0
2012-06-11,5.5869969816,74.0
2012-06-12,5.7274912987,72.0
2012-06-13,5.9093013238,72.0
2012-06-14,5.9620231821,71.0
2012-06-15,6.5233807192,72.0
2012-06-16,6.4441582823,72.0
2012-06-17,6.199966488,71.0
2012-06-18,6.3108446686,71.0
2012-06-19,6.494826716,71.0
2012-06-20,6.6935510555,72.0
2012-06-21,6.6722625038,72.0
2012-06-22,6.5637616978,73.0
2012-06-23,6.4475416891,73.0
2012-06-24,6.3504940386,74.0
2012-06-25,6.31747363,73.0
2012-06-26,6.4328608288,74.0
2012-06-27,6.6157134015,73.0
2012-06-28,6.590064633,74.0
2012-06-29,6.6587767572,75.0
2012-06-30,6.680427623,75.0
2012-07-01,6.6268600923,76.0
2012-07-02,6.7434780508,72.0
2012-07-03,6.4499924033,72.0
2012-07-04,6.5148353331,73.0
2012-07-05,6.6423986043,71.0
2012-07-06,6.6721811894,71.0
2012-07-07,6.8082737119,71.0
2012-07-08,6.7963176879,71.0
2012-07-09,7.032395886,71.0
2012-07-10,7.1785800357,71.0
2012-07-11,7.185147789,71.0
2012-07-12,7.5559356502,73.0
2012-07-13,7.630921256,75.0
2012-07-14,7.5801291783,75.0
2012-07-15,7.6272348597,74.0
2012-07-16,8.4934056774,72.0
2012-07-17,8.7519848551,72.0
2012-07-18,9.0951926861,72.0
2012-07-19,8.8795334135,72.0
2012-07-20,8.5324506791,73.0
2012-07-21,8.875645841,72.0
2012-07-22,8.5065625441,74.0
2012-07-23,8.5312112694,74.0
2012-07-24,8.5745851707,74.0
2012-07-25,8.7693472729,73.0
2012-07-26,8.8757650462,75.0
2012-07-27,8.8914598942,75.0
2012-07-28,8.8425608942,74.0
2012-07-29,8.7476806593,76.0
2012-07-30,9.088317249,76.0
2012-07-31,9.3209984021,74.0
2012-08-01,9.5680209039,75.0
2012-08-02,10.5510396961,73.0
2012-08-03,10.9158647466,73.0
2012-08-04,10.9197148808,73.0
2012-08-05,10.8051173776,74.0
2012-08-06,10.8694465018,75.0
2012-08-07,10.9412794401,75.0
2012-08-08,11.0703915967,74.0
2012-08-09,11.103724744,74.0
2012-08-10,11.4475688045,75.0
2012-08-11,11.5425355272,75.0
2012-08-12,11.5925523898,75.0
2012-08-13,11.9849629904,74.0
2012-08-14,12.187097481,74.0
2012-08-15,13.1700773539,75.0
2012-08-16,13.4507908247,76.0
2012-08-17,12.0770055424,72.0
2012-08-18,11.5775071648,73.0
2012-08-19,7.8306218419,74.0
2012-08-20,9.9798766487,71.0
2012-08-21,9.9029820181,73.0
2012-08-22,9.7725545786,71.0
2012-08-23,10.0886574261,71.0
2012-08-24,10.5940425944,71.0
2012-08-25,10.5836766715,70.0
2012-08-26,10.5455307423,71.0
2012-08-27,10.9003800807,72.0
2012-08-28,10.9329585336,72.0
2012-08-29,10.8677839018,72.0
2012-08-30,10.7277488384,72.0
2012-08-31,10.1024098206,73.0
2012-09-01,10.0065329375,74.0
2012-09-02,10.2261162016,73.0
2012-09-03,10.4971343092,74.0
2012-09-04,10.3640018942,76.0
2012-09-05,11.0255228784,76.0
2012-09-06,11.1607690158,76.0
2012-09-07,11.0761223366,76.0
2012-09-08,11.0432700333,75.0
2012-09-09,11.0620954933,75.0
2012-09-10,11.1252888048,75.0
2012-09-11,11.2680929553,75.0
2012-09-12,11.3152859082,75.0
2012-09-13,11.3802992887,76.0
2012-09-14,11.7301076224,75.0
2012-09-15,11.7183934155,75.0
2012-09-16,11.8869112238,77.0
2012-09-17,11.9083171572,78.0
2012-09-18,12.2596508387,77.0
2012-09-19,12.5048540982,76.0
2012-09-20,12.3671766493,77.0
2012-09-21,12.3336578358,78.0
2012-09-22,12.2137276251,77.0
2012-09-23,12.1654630263,77.0
2012-09-24,12.1135887165,77.0
2012-09-25,12.1824053945,77.0
2012-09-26,12.3198168597,78.0
2012-09-27,12.3187514018,78.0
2012-09-28,12.3814573892,78.0
2012-09-29,12.4047515056,79.0
2012-09-30,12.3916224728,77.0
2012-10-01,12.3893951601,77.0
2012-10-02,12.8072380959,78.0
2012-10-03,12.9554304944,76.0
2012-10-04,12.8623857779,77.0
2012-10-05,12.7522194191,77.0
2012-10-06,12.5051297136,76.0
2012-10-07,11.8739970853,76.0
2012-10-08,11.7333297481,75.0
2012-10-09,11.8286634354,75.0
2012-10-10,12.1091884781,78.0
2012-10-11,12.0675518083,79.0
2012-10-12,12.0280681648,78.0
2012-10-13,11.9268038293,78.0
2012-10-14,11.6505779608,77.0
2012-10-15,11.9083095269,77.0
2012-10-16,11.848018069,79.0
2012-10-17,11.9193881607,79.0
2012-10-18,11.9259328445,80.0
2012-10-19,11.7574857972,81.0
2012-10-20,11.6943775517,82.0
2012-10-21,11.6574114059,84.0
2012-10-22,11.7410779129,84.0
2012-10-23,11.70778173,83.0
2012-10-24,11.6343523869,84.0
2012-10-25,10.7536298203,83.0
2012-10-26,10.1306194936,87.0
2012-10-27,10.4581862957,87.0
2012-10-28,10.7099620839,86.0
2012-10-29,10.630738976,85.0
2012-10-30,10.8593230584,87.0
2012-10-31,11.1460718381,88.0
2012-11-01,10.613535751,89.0
2012-11-02,10.5305036388,87.0
2012-11-03,10.6507470193,88.0
2012-11-04,10.7968828925,87.0
2012-11-05,10.7408207352,88.0
2012-11-06,10.8681974991,89.0
2012-11-07,10.9540989445,89.0
2012-11-08,10.8926993711,89.0
2012-11-09,10.815867218,89.0
2012-11-10,10.863260443,89.0
2012-11-11,10.8418406388,89.0
2012-11-12,11.0313424553,90.0
2012-11-13,10.9980027791,91.0
2012-11-14,10.9589524185,90.0
2012-11-15,11.1751098586,88.0
2012-11-16,11.7050448299,87.0
2012-11-17,11.7500423992,87.0
2012-11-18,11.6656310321,87.0
2012-11-19,11.7505293507,87.0
2012-11-20,11.6991703168,87.0
2012-11-21,11.7291351759,87.0
2012-11-22,12.2919979465,87.0
2012-11-23,12.2802876195,87.0
2012-11-24,12.4132043998,87.0
2012-11-25,12.5296894898,87.0
2012-11-26,12.1846262399,86.0
2012-11-27,12.1592753846,87.0
2012-11-28,12.331659827,87.0
2012-11-29,12.4976616534,87.0
2012-11-30,12.5861389275,86.0
2012-12-01,12.5923868703,87.0
2012-12-02,12.4979447566,87.0
2012-12-03,12.6569578369,86.0
2012-12-04,13.3695895815,84.0
2012-12-05,13.3127502221,85.0
2012-12-06,13.4779245403,84.0
2012-12-07,13.4772824494,84.0
2012-12-08,13.4999844091,84.0
2012-12-09,13.3465108907,84.0
2012-12-10,13.4922565809,84.0
