d,price_usd,binance,bybit,okx,bitget,deribit,bitmex,huobi,bitfinex,gate_io,kucoin,kraken,crypto_com,dydx,delta_exchange
2020-08-01,11797.5821265342,487687572.9963,409794538.8194,1261926970.3572,,241740539.6031,1043088816.8491,780504927.0984,63777743.4322,,,,,,
2020-08-02,11094.0206841321,526532968.5574,456766105.0834,1290562752.3659,,242427090.7785,1020783616.0472,841063158.0378,74518619.9946,,,,,,
2020-08-03,11236.0956805377,381637671.976,361592013.8657,1155813965.3072,,237803584.8084,910922813.4679,747335228.3202,72794435.1753,,,,,,
2020-08-04,11202.651909059,395824381.4008,382179957.9736,1121253849.6619,,229092477.624,922006788.6047,749921275.2254,73760437.5482,,,,,,
2020-08-05,11721.4384715956,399513116.5732,356185927.1391,1144919211.4261,,232926386.6576,924371469.1241,762526269.5867,73613192.9108,,,,,,
2020-08-06,11769.3091081239,450547375.2646,375388689.6145,1204495409.527,,245077686.674,966365386.5127,779544092.3101,78835813.7688,,,,,,
2020-08-07,11598.9690585038,463363752.8994,406475897.8367,1206757615.5838,,245184172.42,973026626.2336,804020963.7502,83150944.2262,,,,,,
2020-08-08,11743.0086350088,412537599.9432,381781428.6378,1175987334.6138,,250313664.9099,980210343.7843,797544708.8775,82237244.8624,,,,,,
2020-08-09,11680.5173661601,439275026.7307,356956824.2382,1187676475.672,,250150491.5754,948637443.0932,785949727.8965,85557872.0047,,,,,,
2020-08-10,11870.3695447107,442731765.2989,380299733.5595,1191001441.2018,,250669858.4452,986238132.5719,806788299.7553,85030653.444,,,,,,
2020-08-11,11392.6440884278,449025706.0899,410333452.3637,1234327114.2252,,253910060.1269,1004810324.7368,832837597.084,89678974.2635,,,,,,
2020-08-12,11575.5124736996,452107457.8256,400944167.8434,1188978288.6021,,266777825.279,997881953.3139,801549337.5093,85662640.1647,,,,,,
