d,price_usd,binance,bybit,okx,bitget,deribit,bitmex,huobi,bitfinex,gate_io,kucoin,kraken,crypto_com,dydx,delta_exchange
2022-06-21,20688.4651312098,2732994570.727,1249409951.4544,1521416246.7038,1121575592.0,927726347.3196,300204239.2587,219480089.0957,131915995.4544,,,40209382.909,,93020857.333,
2022-06-22,20003.1683375219,2827885483.2041,1251253094.7704,1576434316.302,1077158509.0,913734546.7214,309129058.7402,222403415.0747,131270430.8936,,,39475515.1518,,87087690.3645,
2022-06-23,21097.1028331385,2786910963.7785,1239261532.969,1548184739.623,1054676579.0,897953846.0696,298449846.2593,210575644.6057,128600888.468,,,38410867.6627,,85074502.042,
2022-06-24,21299.0769853887,2975449762.1718,1292116191.7916,1563344325.8639,1126212720.0,893987386.8558,296849056.029,212579069.3167,134889465.6673,,,39154351.564,,81286171.848,
2022-06-25,21468.3431566335,2824331059.8843,1264469161.1768,1370998508.3996,840077732.8,788493171.9752,277348940.7934,198419456.2464,132779580.8156,,,39001252.7259,,85512949.2474,
2022-06-26,21066.6209430158,3017315855.2342,1325926059.2678,1413186348.6288,871256824.7,787600579.6814,275969943.2861,202123987.457,131468918.3078,,,39928637.3064,,84119241.8136,
2022-06-27,20751.0516960842,2875106933.4331,1251551548.3657,1408109663.7579,867114167.9,792247668.2674,278073320.3826,202742567.9657,128315694.2204,,,39279076.688,,80701307.6937,
2022-06-28,20263.2196393922,2820106465.0913,1317762188.1176,1458371586.2342,860240612.5,786384435.9463,269575127.7289,206154506.9649,126170089.9672,,,39243413.9898,,78992772.1258,
2022-06-29,20080.9480864991,2843846757.103,1336492909.9032,1519825588.2545,921205260.0,779606806.009,263448832.0753,200710253.2356,123179946.6078,,,38985081.5903,,75661061.8437,
2022-06-30,19332.9121294565,2782608891.5912,1288164360.1352,1593168236.1502,926754091.7,774574791.3402,283215584.6816,194269477.3389,121659066.9391,,,39133240.0732,,76015180.0251,
2022-07-01,19341.8631240795,2681577768.6691,1250524923.6281,1698702482.1996,919468304.2,794580542.7981,284469341.8119,215205372.3337,127953381.1489,,,39071520.029,,79905026.6242,
2022-07-02,19231.8317083577,2543891617.8756,1153290840.64,1623587470.4954,939831725.0,764973697.707,278817120.3515,196940201.2233,123641934.0464,,,39933942.4843,,72879196.8,
2022-07-03,19276.5146639392,2602110658.5938,1197573340.6632,1690347910.1622,927061155.9,756116769.4644,275119901.9334,191847908.3431,120425626.5849,,,40114312.0994,,73926983.3201,
2022-07-04,20226.2984745763,2623490369.6321,1166527882.2276,1709722466.5034,981390539.1,756011026.3111,266736324.7583,192092709.5245,117024589.2294,,,40669932.3829,,75182203.841,
2022-07-05,20193.3427938048,2900430907.4625,1324875210.4556,1803427015.737,1054278981.0,759650627.0761,294927897.4604,205989309.4768,122308198.283,,,41086558.1362,,79281724.4979,
2022-07-06,20560.8438126826,2862419377.3462,1259783680.9653,1831424973.1571,1084846669.0,770625544.7838,299899206.9133,206925846.6327,114323093.9509,,,42578719.0645,,77599855.5652,
2022-07-07,21651.4191423144,2960036699.47,1338082406.6825,1899669644.8008,1058017703.0,775599227.0538,312549088.7969,215004923.7021,112669249.031,,,42755699.8091,,78887517.1856,
2022-07-08,21813.7871239042,3373539798.2272,1549813451.4872,1978052025.758,1234960633.0,782721973.7578,290929004.9197,233296027.1425,118975998.6364,,,41872876.0015,,82393145.7174,
2022-07-09,21585.1321922852,3239035026.506,1398773667.1833,1906025709.3965,1128288604.0,772198114.3798,301174124.5273,229740289.6274,114657652.8522,,,42198653.3478,,81403634.403,
2022-07-10,20831.2733915839,3203929654.8474,1427355340.661,1997090198.0602,1098845517.0,772322234.9741,305531685.4204,228031392.9095,113185154.1372,,,43233964.1068,,82915017.9695,
2022-07-11,19971.3294704851,2988048889.7292,1388737182.8721,2016202512.553,1107787680.0,780042872.6172,306807208.5604,225580703.4738,110093086.1415,,,40496210.0074,,80080829.9046,
