d,price_usd,address_01_1
2012-01-01,5.2948427773,35982
2012-01-02,5.2048778919,36104
2012-01-03,4.8705088288,36164
2012-01-04,5.5857062671,36171
2012-01-05,6.8740008773,36275
2012-01-06,6.68331664,36314
2012-01-07,6.7962279807,36318
2012-01-08,7.0966505663,36574
2012-01-09,6.2885383425,36775
2012-01-10,6.5284745552,36355
2012-01-11,6.8891277212,36462
2012-01-12,6.7735641958,36672
2012-01-13,6.4543688901,36836
2012-01-14,6.7617271426,37088
2012-01-15,7.0469225582,37233
2012-01-16,6.7156076666,37256
2012-01-17,5.5996219503,37315
2012-01-18,5.9002312881,37448
2012-01-19,6.3157063416,37690
2012-01-20,6.5014919883,37988
2012-01-21,6.1805683255,37916
2012-01-22,6.3029672268,38048
2012-01-23,6.3748760771,38186
2012-01-24,6.2744764757,38325
2012-01-25,5.8104650725,38429
2012-01-26,5.3672269544,38500
2012-01-27,5.303137197,38651
2012-01-28,5.659796775,38665
2012-01-29,5.3914294573,38686
2012-01-30,5.5034819386,38849
2012-01-31,5.5382202957,39213
2012-02-01,6.0752326523,39245
2012-02-02,6.0995729129,39426
2012-02-03,5.9516109275,39437
2012-02-04,5.895413239,39648
2012-02-05,5.6781157171,39799
2012-02-06,5.4826640584,39925
2012-02-07,5.6620277002,39937
2012-02-08,5.6185281899,40001
2012-02-09,5.8356998542,40090
2012-02-10,5.9378341555,40181
2012-02-11,5.6121328533,40321
2012-02-12,5.5190971695,40473
2012-02-13,5.3483545593,40547
2012-02-14,4.4836540918,40548
2012-02-15,4.325520322,40600
2012-02-16,4.255239045,40593
2012-02-17,4.3915383729,40607
2012-02-18,4.2700812776,40721
2012-02-19,4.3895514582,40967
2012-02-20,4.3651359389,41098
2012-02-21,4.315115602,41222
2012-02-22,4.4193102876,41328
2012-02-23,5.0395151181,41496
2012-02-24,5.0256087589,41413
2012-02-25,4.7725673811,41504
2012-02-26,4.9264208515,41653
2012-02-27,4.9525157563,41830
2012-02-28,4.8572577756,41975
2012-02-29,4.8727487557,42179
2012-03-01,4.9220721236,42283
2012-03-02,4.7148235871,42346
