x,y
320.0,357776.07509391
576.0,519669.61188593006
832.0,299475.8576259
1088.0,109688.37909721
1344.0,41694.181086950004
1600.0,10444.53582742
1856.0,18611.029680289997
2112.0,6402.39470962
2368.0,23765.23129431
2624.0,48423.2460184
2880.0,114253.54071603
3136.0,5402.91253161
3392.0,42018.72872788
3648.0,125538.50647230001
3904.0,280895.24579553003
4160.0,75147.61284198999
4416.0,60731.27556679
4672.0,29212.62597838
4928.0,23905.44330189
5184.0,25209.67404906
5440.0,42802.10988371
5696.0,76568.63542066
5952.0,26167.518440890002
6208.0,41728.43144085
6464.0,114193.76334857
6720.0,110508.29969411
6976.0,56535.188447019995
7232.0,149507.76560050002
7488.0,66487.53959093
7744.0,43611.50212285
8000.0,62557.44211428
8256.0,117246.23987158001
8512.0,54283.24865312
8768.0,101419.85361136
9024.0,80775.82301693
9280.0,101525.95886591
9536.0,86987.51819917001
9792.0,94093.07120564
10048.0,70269.87203359
10304.0,61789.139484650004
10560.0,72621.14880542
10816.0,51765.83312525001
11072.0,44146.85274924
11328.0,68521.99667078
11584.0,66863.15450969
11840.0,79546.01559102
12096.0,13317.64745679
12352.0,9229.93996503
12608.0,6345.39583557
12864.0,14397.17288324
13120.0,29934.12269263
13376.0,18580.36022724
13632.0,27158.95158534
13888.0,89500.06678401
14144.0,15248.265507780001
14400.0,15132.08180978
14656.0,8254.79053685
14912.0,11778.320639419999
15168.0,15585.35092941
15424.0,15946.92438647
15680.0,14663.94504078
15936.0,21500.86353224
16192.0,42109.59833822
16448.0,91909.43270964001
16704.0,206211.05650537
16960.0,247543.48891564
17216.0,65598.00604015001
17472.0,29728.18308579
17728.0,29153.87724997
17984.0,16691.88236327
18240.0,19856.9313503
18496.0,27729.019158029998
18752.0,20724.79918191
19008.0,39745.91258755
19264.0,144483.28354944
19520.0,61567.73335472999
19776.0,29398.061536200003
20032.0,51214.971340710006
20288.0,50330.59975794
20544.0,65570.87310123
20800.0,136011.50180213
21056.0,42894.01084942
21312.0,62771.822481330004
21568.0,45727.6019802
21824.0,25324.896492480002
22080.0,21225.39842856
22336.0,24424.29033117
22592.0,39999.36387975
22848.0,43840.41757196
23104.0,88587.862216
23360.0,45938.76864781
23616.0,41550.87166726
23872.0,52969.061068150004
24128.0,26969.45855707
24384.0,16047.17816422
24640.0,17450.77168348
24896.0,17991.77307077
25152.0,21794.80448111
25408.0,2669.15451251
25664.0,28435.14404676
25920.0,97263.93895303
26176.0,112325.10981447
26432.0,103282.92222203
26688.0,87945.61177804
26944.0,157057.89076500002
27200.0,235676.02837584
27456.0,67835.14007115
27712.0,74741.85066973
27968.0,83127.83544761
28224.0,54941.148980850005
28480.0,59421.57830584
28736.0,28469.333119180003
28992.0,39059.95247649
29248.0,186313.49945993
29504.0,129169.89193206
29760.0,51360.03348519
30016.0,86712.66989652
30272.0,123824.95317691
30528.0,118143.13749704
30784.0,60305.16701875
31040.0,46320.85611907
31296.0,17211.57165736
31552.0,19871.17015459
31808.0,26940.52224379
32064.0,11118.899789840001
32320.0,9547.441124919998
32576.0,12561.647172699999
32832.0,22391.88407403
33088.0,13701.05279978
33344.0,12224.88997371
33600.0,18702.71146296
33856.0,22939.60112481
34112.0,37693.76839949
34368.0,35515.33973406
34624.0,70347.06015629
34880.0,43592.55608247
35136.0,22303.74708931
35392.0,26197.966402949998
35648.0,19304.48885586
35904.0,20098.53941595
36160.0,27580.739134850002
36416.0,31070.30271678
36672.0,54069.55267157999
36928.0,46366.715171439995
37184.0,58688.43971316
