x,y
58432.0,18498.079102390002
58688.0,21049.71680282
58944.0,18708.58118701
59200.0,34283.28152536
59456.0,54127.14314803
59712.0,10814.05077094
59968.0,12303.227156680001
60224.0,60722.007234720004
60480.0,70433.88338541001
60736.0,34533.77678272
60992.0,60566.081578080004
61248.0,103444.37192997002
61504.0,97021.52240944
61760.0,86413.88750585
62016.0,71001.61143333
62272.0,93433.55416951
62528.0,42538.79241285
62784.0,63994.71424313
63040.0,86258.82994465
63296.0,70548.62642757001
63552.0,79127.13150121999
63808.0,52557.61146247
64064.0,152458.12203117
64320.0,38251.92872159
64576.0,40141.019120900004
64832.0,44902.555041700005
65088.0,44907.61744506
65344.0,24795.76961502
65600.0,90788.11892631999
65856.0,71535.43339277
66112.0,151313.41182965
66368.0,68742.70242337999
66624.0,131149.52184558
66880.0,140619.17894445
67136.0,182949.091282
67392.0,91661.02572423
67648.0,71622.689046
67904.0,53853.57980945
68160.0,63930.0540151
68416.0,238397.60120186998
68672.0,54528.509994010004
68928.0,88331.84184307
69184.0,92024.97135594
69440.0,103373.10886538
69696.0,116802.49484811001
69952.0,77018.81615226
70208.0,58615.7216609
70464.0,45411.86325322
70720.0,31946.85816815
70976.0,63718.37671692
71232.0,66236.79194974
71488.0,21312.91685882
71744.0,35134.816855419995
72000.0,23342.836317859998
72256.0,63515.19941157
72512.0,28720.024058349998
72768.0,37816.89480743
73024.0,37451.4033903
73280.0,40349.48306303
73536.0,16792.312751769998
